Name,RA,Dec,Con,OT,Mag,Diam,Other
Abell 1,1.892900,16.511600,PEG,GG,17.10,16.785,N=51; Dclass=5
Abell 2,2.112500,-19.638400,CET,GG,17.30,13.428,N=72; Dclass=6
Abell 3,2.316300,4.028200,PSC,GG,17.00,14.547,N=65; Dclass=5
Abell 4,2.341800,6.778200,PSC,GG,17.80,8.952,N=55; Dclass=6
Abell 5,2.572800,33.094800,AND,GG,17.10,25.737,N=66; Dclass=5
Abell 6,2.619200,17.694800,PEG,GG,17.50,22.380,N=116; Dclass=6
Abell 7,2.923700,32.411400,AND,GG,17.10,16.785,N=55; Dclass=5
Abell 8,3.038000,-11.188500,CET,GG,17.20,14.547,N=76; Dclass=5
Abell 9,3.092900,9.461400,PSC,GG,18.00,7.833,N=55; Dclass=6
Abell 10,3.214200,-5.988600,PSC,GG,17.20,14.547,N=88; Dclass=5
Abell 11,3.186500,-16.438600,CET,GG,17.20,16.785,N=129; Dclass=5
Abell 12,3.338700,-7.605300,CET,GG,17.20,10.071,N=112; Dclass=5
Abell 13,3.410300,-19.505300,CET,GG,16.60,16.785,N=92; Dclass=5
Abell 14,3.808100,-23.888700,CET,GG,15.20,33.570,N=35; Dclass=3
Abell 15,3.807400,-26.022100,SCL,GG,17.40,8.952,N=35; Dclass=6
Abell 16,4.192900,6.744400,PSC,GG,17.00,24.618,N=86; Dclass=5
Abell 17,4.243600,8.794400,PSC,GG,17.60,12.309,N=62; Dclass=6
Abell 18,4.264700,-2.788900,PSC,GG,17.10,23.499,N=41; Dclass=5
Abell 19,4.713300,-6.189100,PSC,GG,17.80,10.071,N=102; Dclass=6
Abell 20,4.906300,-22.622400,CET,GG,17.10,15.666,N=54; Dclass=5
Abell 21,5.128300,28.627400,AND,GG,16.20,17.904,N=56; Dclass=4
Abell 22,5.179200,-25.705900,SCL,GG,17.50,16.785,N=141; Dclass=6
Abell 23,5.440200,-0.889400,PSC,GG,17.00,26.856,N=45; Dclass=5
Abell 24,5.626700,23.293900,AND,GG,17.50,22.380,N=127; Dclass=6
Abell 25,5.765500,-0.156200,PSC,GG,17.80,13.428,N=78; Dclass=6
Abell 26,5.835600,36.843700,AND,GG,17.40,8.952,N=129; Dclass=6
Abell 27,6.204800,-20.706400,CET,GG,16.50,25.737,N=40; Dclass=5
Abell 28,6.294700,8.126900,PSC,GG,17.60,13.428,N=129; Dclass=6
Abell 29,6.740300,38.559900,AND,GG,17.50,8.952,N=46; Dclass=6
Abell 30,6.683900,-12.190000,CET,GG,17.80,10.071,N=102; Dclass=6
Abell 31,6.778600,22.626600,AND,GG,17.70,11.190,N=90; Dclass=6
Abell 32,6.735600,-9.106700,CET,GG,18.00,11.190,N=61; Dclass=6
Abell 33,6.779500,-19.506700,CET,GG,17.90,7.833,N=69; Dclass=6
Abell 34,6.810700,-8.806700,CET,GG,18.00,16.785,N=98; Dclass=6
Abell 35,6.853000,-21.673400,CET,GG,17.10,14.547,N=58; Dclass=5
Abell 36,6.908300,-12.790100,CET,GG,17.60,20.142,N=84; Dclass=6
Abell 37,6.984600,-10.523500,CET,GG,18.00,7.833,N=66; Dclass=6
