Name,RA,Dec,Con,OT,Mag,Diam,Other
Arp 1,141.156700,49.356700,UMA,PG,12.20,2.990,N=1
Arp 2,244.075800,47.046400,HER,PG,13.20,3.640,N=1
Arp 3,339.141700,-2.905300,AQR,PG,13.40,3.250,N=1
Arp 4,27.106700,-12.381900,CET,PG,13.70,3.640,N=1
Arp 5,171.103300,3.327500,LEO,PG,12.80,2.730,N=1
Arp 6,123.310800,45.991100,LYN,PG,12.30,2.210,N=1; z=0.00126222222222222
Arp 7,132.573300,-16.576400,HYA,PG,14.50,1.690,N=1
Arp 8,20.596700,-0.874700,CET,PG,13.00,2.730,N=1
Arp 9,123.747100,73.580300,CAM,PG,11.90,3.900,N=1; z=0.0120133333333333
Arp 10,34.609600,5.653900,CET,PG,13.80,1.950,N=1
Arp 11,17.346200,14.336700,PSC,PG,14.40,1.950,N=1
Arp 12,128.822100,28.473300,CNC,PG,12.20,2.990,N=1; z=0.00680333333333333
Arp 13,345.010000,15.989400,PEG,PG,11.60,3.510,N=1; z=0.00883
Arp 14,338.940400,-26.050800,PSA,PG,10.90,5.980,N=1; z=0.00612666666666667
Arp 15,342.913700,-5.557800,AQR,PG,12.60,2.600,N=1; z=0.013245
Arp 16,170.062100,12.989200,LEO,PG,8.90,11.830,N=1
Arp 17,116.148300,73.822250,CAM,PG,14.70,1.262,N=2
Arp 18,181.397100,50.541900,UMA,PG,10.50,7.540,N=1; z=0.00272
Arp 19,7.937500,-5.153300,CET,PG,13.20,2.340,N=1
Arp 20,64.973700,2.095300,TAU,PG,14.40,1.560,N=1
Arp 21,166.243700,30.026900,LMI,PG,14.70,1.040,N=1
Arp 22,179.875000,-19.297500,CRV,PG,11.20,4.111,N=2; z=0.00567
Arp 23,190.385000,41.150600,CVN,PG,10.80,5.460,N=1; z=0.00180333333333333
Arp 24,163.670450,56.978750,UMA,PG,12.60,2.202,N=2
Arp 25,111.804200,85.755600,CEP,PG,11.40,3.640,N=1; z=0.00865
Arp 26,210.802900,54.350600,UMA,PG,7.90,37.570,N=1; z=0.00134833333333333
Arp 27,170.260800,53.171100,UMA,PG,10.40,6.500,N=1; z=0.00387333333333333
Arp 28,352.115800,22.421100,PEG,PG,11.80,3.120,N=1; z=0.01226
Arp 29,308.717500,60.153900,CYG,PG,8.80,15.080,N=1; z=0.00102444444444444
Arp 30,260.679550,62.170000,DRA,PG,12.20,0.509,N=2
Arp 31,27.784200,21.914200,ARI,PG,13.60,3.770,N=1
Arp 32,258.288150,59.327950,DRA,PG,14.30,0.803,N=2
Arp 33,204.351450,6.432650,VIR,PG,15.00,0.433,N=2
Arp 34,190.405800,26.072200,COM,PG,13.10,2.080,N=1
Arp 35,5.592500,-1.325000,PSC,PG,15.00,2.598,N=2
Arp 36,203.562100,31.425300,CVN,PG,15.00,1.690,N=1
Arp 37,40.669600,-0.013100,CET,PG,8.90,9.230,N=1; z=0.00362111111111111
Arp 38,262.400800,75.704700,DRA,PG,11.70,3.250,N=1; z=0.00583666666666667
Arp 39,52.425000,-22.279200,ERI,PG,13.00,2.080,N=1
Arp 40,202.335000,37.408600,CVN,PG,15.00,1.040,N=1
Arp 41,47.438700,-20.578900,ERI,PG,10.10,0.000,N=2; z=0.00578333333333333
Arp 42,225.667500,23.340700,BOO,PG,13.30,1.339,N=2
Arp 43,156.064200,16.743300,LEO,PG,13.20,2.340,N=1
Arp 44,156.386200,-2.221100,SEX,PG,14.10,1.950,N=1
Arp 45,214.912500,51.912600,BOO,PG,15.40,4.814,N=2
Arp 46,353.421200,30.043100,PEG,PG,15.00,1.560,N=1
Arp 47,221.802100,18.858750,BOO,PG,15.00,0.054,N=2
Arp 48,19.985800,12.345600,PSC,PG,15.70,nan,N=1
Arp 49,218.106200,8.079400,BOO,PG,12.00,2.470,N=1
Arp 50,359.491700,-14.030000,CET,PG,14.00,0.650,N=1
Arp 51,1.570000,-13.448100,CET,PG,15.00,1.040,N=1
Arp 52,79.933300,3.716900,ORI,PG,15.60,nan,N=1
Arp 53,158.821700,-17.275000,HYA,PG,14.40,1.300,N=1
Arp 54,36.001900,-4.695300,CET,PG,15.00,0.692,N=2
Arp 55,138.992300,44.342350,LYN,PG,14.90,1.598,N=2
Arp 56,29.357100,17.217500,ARI,PG,14.60,1.170,N=1
Arp 57,199.167100,14.428350,COM,PG,14.80,1.002,N=2
Arp 58,127.992100,19.213300,CNC,PG,14.20,2.340,N=1
Arp 59,15.194350,-9.186550,CET,PG,14.50,0.485,N=2
Arp 60,198.697100,26.085800,COM,PG,16.30,nan,N=1
Arp 61,69.175000,-2.286900,ERI,PG,15.10,1.300,N=1
Arp 62,178.399600,43.455000,UMA,PG,14.70,0.000,N=2
Arp 63,144.825650,32.308200,LEO,PG,14.00,0.727,N=2
Arp 64,221.357900,19.464700,BOO,PG,15.00,1.950,N=1
Arp 65,5.465400,22.400300,AND,PG,13.70,2.860,N=1
Arp 66,246.720400,51.555600,DRA,PG,14.60,1.560,N=1
Arp 67,20.320000,-0.545000,CET,PG,14.00,2.080,N=1
Arp 68,357.187900,4.173300,PSC,PG,12.70,3.250,N=1
Arp 69,215.110000,35.188600,BOO,PG,13.60,2.470,N=1
Arp 70,20.864800,30.778450,PSC,PG,15.00,0.825,N=2
Arp 71,241.282500,17.757500,HER,PG,13.90,1.690,N=1
Arp 72,236.733550,17.879050,SER,PG,12.80,1.594,N=2
Arp 73,248.787100,46.213900,HER,PG,13.50,2.210,N=1
Arp 74,32.088800,41.479400,AND,PG,14.10,2.080,N=1
Arp 75,27.826200,-4.055800,CET,PG,11.90,2.080,N=1
Arp 76,189.207500,13.162800,VIR,PG,9.50,12.610,N=1; z=0.00298666666666667
Arp 77,41.560400,-30.251800,FOR,PG,9.20,3.455,N=2; z=0.00425333333333333
Arp 78,29.820650,18.980250,ARI,PG,10.30,3.503,N=2; z=0.00851
Arp 79,212.529200,17.615300,BOO,PG,13.90,1.560,N=1
Arp 80,132.027500,74.099400,CAM,PG,12.20,3.250,N=1; z=0.00794
Arp 81,273.238950,68.358600,DRA,PG,12.80,1.049,N=2; z=0.0216333333333333
Arp 82,122.811650,25.193200,CNC,PG,12.80,1.791,N=2; z=0.0135355555555556
Arp 83,175.047100,15.335000,LEO,PG,12.70,1.320,N=2; z=0.0114883333333333
Arp 84,209.650400,37.439600,CVN,PG,11.40,1.947,N=2; z=0.01217
Arp 85,202.481050,47.233050,CVN,PG,8.40,4.368,N=2; z=0.00183
Arp 86,356.756650,29.471250,PEG,PG,12.00,2.073,N=2; z=0.0169883333333333
Arp 87,175.184150,22.437650,LEO,PG,11.50,1.183,N=2
Arp 88,19.773300,12.479200,PSC,PG,17.00,nan,N=1
Arp 89,130.667100,14.285800,CNC,PG,12.70,4.290,N=1
Arp 90,231.529150,41.673200,BOO,PG,12.20,0.499,N=2; z=0.00956
Arp 91,233.639800,15.199150,SER,PG,12.10,0.790,N=2; z=0.00736
Arp 92,349.735800,0.243900,PSC,PG,13.20,2.080,N=1
Arp 93,337.154150,-24.842500,AQR,PG,11.90,0.516,N=2
