Name,RA,Dec,Con,OT,Diam,Other
AM 0000-551,0.688120,-55.009850,PHE,PG,0.600,lumpy dwarf/galaxy w. knots
AM 0000-803,0.688280,-80.346510,OCT,PG,1.600,lo.s.br. dwarf + comp'ns.
AM 0000-594,0.782680,-59.519850,TUC,PG,1.300,chain of 3
AM 0000-545,0.820590,-54.556530,PHE,PG,3.600,spiral + 4 app. comp'ns.
AM 0000-500,0.841840,-49.793200,PHE,PG,0.500,s0 w. diametric comp'ns.
AM 0001-435,0.950250,-43.618210,PHE,PG,0.700,sp. w. pec. arm + compact comp'n.
AM 0001-531,1.023640,-52.916540,PHE,PG,2.500,e + 4 app. comp'ns.
AM 0001-505,1.048840,-50.646540,PHE,PG,0.600,pair (#1: spiral)
AM 0001-323,1.134010,-32.249900,SCL,PG,0.300,compact
AM 0001-454,1.132490,-45.448220,PHE,PG,4.500,group of 5
AM 0002-280,1.263260,-27.741580,SCL,PG,0.300,compact (some structure)
AM 0002-510,1.272470,-50.828220,PHE,PG,4.300,group of 4
AM 0002-405,1.311530,-40.604900,PHE,PG,1.800,3 disturbed galaxies in a group
AM 0002-305,1.346060,-30.564920,SCL,PG,39.400,chain of 8 (i/a dbl. at end)
AM 0002-503,1.359570,-50.268230,PHE,PG,2.800,spiral w. app. comp'ns.
AM 0003-834,1.397670,-83.409890,OCT,PG,0.600,galaxy w. material to side
AM 0003-473,1.472080,-47.324910,PHE,PG,0.300,small i/a dbl.
AM 0003-362,1.494820,-36.136590,SCL,PG,4.000,i/a quintet
AM 0003-402,1.556410,-40.218260,PHE,PG,0.200,i/a dbl. w. tails in group of 5
AM 0003-414,1.585210,-41.496600,PHE,PG,1.000,irr.(warped plane) w. i/a comp'n
AM 0003-540,1.623620,-53.833250,PHE,PG,0.400,i/a dbl. (r4 = dn 0004-681)
AM 0004-675,1.625110,-67.626580,TUC,PG,0.100,i/a dbl. (in cluster)
AM 0004-420,1.722050,-41.841610,PHE,PG,0.500,dwarf
AM 0004-500,1.761490,-49.873270,PHE,PG,0.300,small i/a pair of spirals
AM 0004-665,1.757740,-66.554930,TUC,PG,3.100,line of 3 (e w. faint jet)
