Name,RA,Dec,Con,OT,Mag,Other
LBN 5,250.223400,-17.595900,OPH,BN,nan,
LBN 6,249.217900,-16.600400,OPH,BN,nan,
DG 144,248.463500,-15.770500,OPH,BN,nan,LBN 7
LBN 8,237.665000,-5.983600,LIB,BN,nan,
LBN 9,266.527300,-26.185400,SGR,BN,nan,
LBN 10,238.409800,-4.697200,LIB,BN,nan,
LBN 11,237.657000,-4.050300,LIB,BN,nan,
LBN 12,247.694000,-11.773900,OPH,BN,nan,
LBN 15,237.905800,-3.749300,LIB,BN,nan,
LBN 16,248.191900,-11.271700,OPH,BN,nan,
LBN 18,237.652300,-2.900300,SER,BN,nan,
LBN 19,237.652000,-2.817000,SER,BN,nan,
LBN 20,246.683700,-9.611700,OPH,BN,nan,
LBN 21,247.183800,-9.609500,OPH,BN,nan,
LBN 22,247.183400,-9.526200,OPH,BN,nan,
LBN 23,237.148400,-1.952300,SER,BN,nan,
Messier 8,271.016700,-24.330300,SGR,BN,5.80,NGC 6523
LBN 26,271.266600,-24.329000,SGR,BN,nan,
Messier 20,270.508900,-22.999400,SGR,BN,8.50,NGC 6514
NGC 6559,272.514600,-23.989600,SGR,BN,nan,LBN 28
LBN 30,246.173700,-7.447300,OPH,BN,nan,
IC 4681,272.011500,-23.442100,SGR,BN,nan,LBN 31
LBN 32,248.179500,-8.605000,OPH,BN,nan,
IC 1274,272.763100,-23.738400,SGR,BN,nan,LBN 33
IC 4684,272.261400,-23.440900,SGR,BN,nan,LBN 34
LBN 35,248.931600,-9.018300,OPH,BN,nan,
LBN 36,240.147300,-1.639900,SER,BN,nan,
LBN 39,249.176300,-7.850500,OPH,BN,nan,
LBN 40,272.250300,-21.490900,SGR,BN,nan,
LBN 41,300.787500,-31.359100,SGR,BN,nan,
NGC 6590,274.240400,-19.731200,SGR,BN,nan,LBN 43
LBN 44,241.638900,0.366400,SER,BN,nan,
NGC 6589,274.240000,-19.647900,SGR,BN,nan,LBN 46
IC 1283,274.239100,-19.481200,SGR,BN,nan,LBN 47
LBN 50,271.725800,-16.993400,SGR,BN,nan,
LBN 52,274.980900,-17.977600,SGR,BN,nan,
LBN 53,272.724000,-16.655200,SGR,BN,nan,
LBN 54,300.768100,-27.859200,SGR,BN,nan,
IC 4701,273.973900,-16.649100,SGR,BN,nan,LBN 55
LBN 57,274.470300,-15.980000,SGR,BN,nan,
Messier 17,275.220200,-15.976400,SGR,BN,6.00,NGC 6618
LBN 61,273.212600,-14.486100,SER,BN,nan,
LBN 63,277.719800,-15.964300,SGR,BN,nan,
LBN 66,276.464000,-14.803700,SCT,BN,nan,
Messier 16,274.709100,-13.812200,SER,BN,6.40,LBN 67
LBN 68,274.959500,-13.894300,SER,BN,nan,
LBN 69,278.467100,-15.460700,SCT,BN,nan,
LBN 70,274.954800,-12.977700,SER,BN,nan,
LBN 71,274.702300,-12.478900,SER,BN,nan,
LBN 74,278.198300,-11.762000,SCT,BN,nan,
IC 1287,277.943500,-10.796500,SCT,BN,nan,LBN 75
LBN 76,277.943500,-10.796500,SCT,BN,nan,
LBN 81,278.674100,-6.876300,SCT,BN,nan,
