Name,RA,Dec,Con,OT,Diam,Other
LDN 1800,255.375000,-22.238600,OPH,DN,7.000,
LDN 1801,267.545800,-29.513600,SGR,DN,100.000,
HMSTG -18.9,286.708300,-37.228300,CRA,DN,16.000,CoA6
LDN 1799,251.733300,-19.672200,OPH,DN,8.000,
IREC 1,279.991700,-34.985800,SGR,DN,72.000,
Corona Australis DN Complex,288.000000,-37.500000,CRA,DN,410.000,R Cra CO Complex
P 1,262.079200,-26.365300,OPH,DN,8.000,
LDN 2,271.808300,-31.493100,SGR,DN,67.000,
LDN 1802,255.575000,-22.221100,OPH,DN,8.000,
LDN 3,270.804200,-30.997800,SGR,DN,142.000,
FeSt 1-448,259.591700,-24.818600,OPH,DN,92.000,
LDN 1,247.212500,-16.109200,OPH,DN,14.000,
B 295,271.029200,-31.030300,SGR,DN,35.000,FeSt1-449
LDN 5,259.062500,-24.421100,OPH,DN,7.000,
LDN 7,262.150000,-26.289700,OPH,DN,17.000,
LDN 6,257.254200,-23.229700,OPH,DN,14.000,
LDN 4,255.750000,-22.227500,OPH,DN,9.000,CB70
DBIRDN 1,267.008300,-28.966700,SGR,DN,15.000,
FeSt 1-451,263.479200,-27.016700,OPH,DN,37.000,
FeSt 1-450,286.683300,-36.980300,CRA,DN,15.000,HMSTG0.3-18.8
LDN 8,251.604200,-19.256100,OPH,DN,17.000,
B 260,261.200000,-25.616700,OPH,DN,10.000,LDN14
LDN 10,269.450000,-30.104400,SCO,DN,3.500,
FeSt 2-305,262.425000,-26.288300,OPH,DN,6.000,
LDN 9,257.504200,-23.228600,OPH,DN,16.000,
SLDN 42,287.566700,-37.124400,CRA,DN,14.000,FeSt2-306 HMSTG0.4-19.5 CoA7
LDN 12,269.550000,-30.120600,SGR,DN,3.500,
LDN 13,256.000000,-22.168900,OPH,DN,7.000,
B 57,257.129200,-22.897200,OPH,DN,8.000,LDN11 CB72 P2
B 51,256.170800,-22.272500,OPH,DN,19.000,LDN15 P3
LDN 16,259.008300,-24.054700,OPH,DN,21.000,
LDN 19,262.275000,-26.039200,OPH,DN,48.000,
LDN 18,257.254200,-22.896400,OPH,DN,6.000,
LDN 17,257.000000,-22.730800,OPH,DN,38.000,
FeSt 1-452,256.750000,-22.548900,OPH,DN,55.000,
B 52,256.291700,-22.215600,OPH,DN,7.000,FeSt2-308 CB71
FeSt 2-307,257.329200,-22.879400,OPH,DN,6.000,
LDN 20,257.125000,-22.730300,OPH,DN,13.000,
LDN 21,262.270800,-25.939200,OPH,DN,9.000,
DBIRDN 2,267.583300,-28.883300,SGR,DN,19.000,
B 305,273.654200,-31.800000,SGR,DN,17.000,
LDN 22,251.729200,-18.922200,OPH,DN,32.000,
FeSt 2-309,271.354200,-30.678600,SGR,DN,6.000,
B 264,261.854200,-25.562500,OPH,DN,11.000,
LDN 24,259.383300,-24.019700,OPH,DN,4.000,
LDN 23,259.308300,-23.970000,OPH,DN,3.000,
LDN 25,263.145800,-26.268300,OPH,DN,4.000,P4
FeSt 2-310,259.912500,-24.300600,OPH,DN,6.000,
HMSTG -22.1,291.779200,-37.838600,SGR,DN,16.000,
LDN 26,271.304200,-30.495600,SGR,DN,11.000,
LDN 29,271.704200,-30.626900,SGR,DN,10.000,
LDN 27,246.958300,-15.110300,OPH,DN,112.000,
LDN 28,259.762500,-24.051100,OPH,DN,90.000,
LDN 30,258.254200,-23.058300,OPH,DN,28.000,
FeSt 2-311,288.595800,-36.864700,CRA,DN,16.000,HMSTG0.9-20.2 CoA9
B 246,257.750000,-22.644200,OPH,DN,18.000,LDN32
DIR -21,290.800000,-37.391900,SGR,DN,300.000,
G 1.0+26.0,244.350000,-12.896700,SCO,DN,35.000,
LDN 31,252.641700,-19.130600,OPH,DN,16.000,CB67 P5
B 265,261.891700,-25.157500,OPH,DN,9.000,FeSt2-312
LDN 33,250.345800,-17.428600,OPH,DN,34.000,
FeSt 1-453,289.062500,-36.860800,CRA,DN,29.000,
B 267,262.166700,-25.270800,OPH,DN,8.000,LDN36 CB88
LDN 34,267.037500,-28.016100,SGR,DN,300.000,
B 289,269.116700,-29.072800,SGR,DN,16.000,LDN35
LDN 37,260.008300,-23.883300,OPH,DN,7.000,
B 298,271.295800,-30.083300,SGR,DN,6.000,LDN41
LDN 40,269.291700,-29.071900,SGR,DN,10.000,
HMSTG 1.2-23.1,292.245800,-37.574700,SGR,DN,5.000,CoA11
FeSt 2-313,269.016700,-28.923300,SGR,DN,6.000,
LDN 39,258.020800,-22.547200,OPH,DN,7.000,
