Name,RA,Dec,Con,OT,Mag,Diam,Other
NGC 104,6.023625,-72.081278,TUC,GC,3.95,6.340,47 Tuc
NGC 288,13.188500,-26.582611,SCL,GC,8.09,4.460,
NGC 362,15.809417,-70.848778,TUC,GC,6.40,1.640,
Whiting 1,30.737500,-3.252778,CET,GC,15.03,0.440,
NGC 1261,48.067542,-55.216222,HOR,GC,8.29,1.360,
Pal 1,53.333500,79.581056,CEP,GC,13.18,0.920,
AM 1,58.759583,-49.615278,HOR,GC,15.72,0.820,E 1
Eridanus,66.185417,-21.186944,ERI,GC,14.70,0.920,
Pal 2,71.524625,31.381500,AUR,GC,13.04,1.000,
NGC 1851,78.528167,-40.046556,COL,GC,7.14,1.020,
Messier 79,81.046208,-24.524722,LEP,GC,7.73,1.300,NGC 1904
NGC 2298,102.247542,-36.005306,PUP,GC,9.29,1.960,
NGC 2419,114.535292,38.882444,LYN,GC,10.41,1.780,
Ko 2,119.570833,26.255000,GEM,GC,17.60,0.420,
Pyxis,136.990833,-37.221389,PYX,GC,12.90,nan,
NGC 2808,138.012917,-64.863500,CAR,GC,6.20,1.600,
E 3,140.237792,-77.281889,CHA,GC,11.35,4.200,
Pal 3,151.382917,0.071667,SEX,GC,14.26,1.300,
NGC 3201,154.403417,-46.412472,VEL,GC,6.75,6.200,
Pal 4,172.320000,28.973583,UMA,GC,14.20,1.020,
Ko 1,179.827083,12.260000,VIR,GC,17.10,0.520,
NGC 4147,182.526250,18.542639,COM,GC,10.32,0.960,
NGC 4372,186.439167,-72.659000,MUS,GC,7.24,7.820,
Rup 106,189.667500,-51.150278,CEN,GC,10.90,2.100,
Messier 68,189.866583,-26.744056,HYA,GC,7.84,3.020,NGC 4590
NGC 4833,194.891333,-70.876500,MUS,GC,6.91,4.820,
Messier 53,198.230208,18.168167,COM,GC,7.61,2.620,NGC 5024
NGC 5053,199.112875,17.700250,COM,GC,9.47,5.220,
NGC 5139,201.696833,-47.479583,CEN,GC,3.68,10.000,omega Centauri
Messier 3,205.548417,28.377278,CVN,GC,6.19,4.620,NGC 5272
NGC 5286,206.611708,-51.374250,CEN,GC,7.34,1.460,
AM 4,209.090417,-27.167500,HYA,GC,15.88,0.860,
NGC 5466,211.363708,28.534444,BOO,GC,9.04,4.600,
NGC 5634,217.405125,-5.976417,VIR,GC,9.47,1.720,
NGC 5694,219.901208,-26.538944,HYA,GC,10.17,0.800,
IC 4499,225.076875,-82.213694,APS,GC,9.76,3.420,
NGC 5824,225.994292,-33.068222,LUP,GC,9.09,0.900,
Pal 5,229.021875,-0.111611,SER,GC,11.75,5.460,
NGC 5897,229.352083,-21.010278,LIB,GC,8.53,4.120,
Messier 5,229.638417,2.081028,SER,GC,5.65,3.540,NGC 5904
NGC 5927,232.002875,-50.673028,LUP,GC,8.01,2.200,
NGC 5946,233.868833,-50.659667,NOR,GC,9.61,1.780,
BH 176,234.781042,-50.052722,NOR,GC,14.00,1.800,
NGC 5986,236.512500,-37.786417,LUP,GC,7.52,1.960,
Lynga 7,242.765208,-55.317778,NOR,GC,10.18,2.400,BH184
Pal 14,242.752500,14.957778,HER,GC,14.74,2.440,AvdB
Messier 80,244.260042,-22.976083,SCO,GC,7.33,1.220,NGC 6093
Messier 4,245.896750,-26.525750,SCO,GC,5.63,8.660,NGC 6121
NGC 6101,246.450500,-72.202194,APS,GC,9.16,2.100,
NGC 6144,246.807750,-26.023500,SCO,GC,9.01,3.260,
NGC 6139,246.918208,-38.848750,SCO,GC,8.99,1.700,
Terzan 3,247.167000,-35.353472,SCO,GC,12.00,2.500,
Messier 107,248.132750,-13.053778,OPH,GC,7.93,3.460,NGC 6171
1636-283,249.856042,-28.398694,SCO,GC,12.00,1.000,ESO 452-SC11
Messier 13,250.421833,36.459861,HER,GC,5.78,3.380,NGC 6205
NGC 6229,251.744958,47.527750,HER,GC,9.39,0.720,
Messier 12,251.809083,-1.948528,OPH,GC,6.70,3.540,NGC 6218
FSR 1735,253.044167,-47.058056,ARA,GC,12.90,0.680,
NGC 6235,253.355458,-22.177444,OPH,GC,9.97,2.000,
Messier 10,254.287708,-4.100306,OPH,GC,6.60,3.900,NGC 6254
NGC 6256,254.885917,-37.121389,SCO,GC,11.29,1.720,
Pal 15,254.962500,-0.538889,OPH,GC,14.00,2.200,
Messier 62,255.303333,-30.113722,OPH,GC,6.45,1.840,NGC 6266
Messier 19,255.657500,-26.267972,OPH,GC,6.77,2.640,NGC 6273
NGC 6284,256.118792,-24.764861,OPH,GC,8.83,1.320,
NGC 6287,256.288042,-22.708361,OPH,GC,9.35,1.480,
NGC 6293,257.542500,-26.582083,OPH,GC,8.22,1.780,
NGC 6304,258.634375,-29.462028,OPH,GC,8.22,2.840,
NGC 6316,259.155417,-28.140111,OPH,GC,8.43,1.300,
Messier 92,259.280792,43.135944,HER,GC,6.44,2.040,NGC 6341
