Name,RA,Dec,Con,OT,Diam,Mag,Other
ASCC 10,51.87,34.981,PER,OC,66.96,nan,N=71; d=672
ASCC 101,288.399,36.369,LYR,OC,44.64,nan,N=75; d=397
ASCC 105,295.548,27.366,VUL,OC,77.76,nan,N=127; d=551
ASCC 107,297.164,21.987,VUL,OC,20.88,nan,N=59; d=878
ASCC 108,298.306,39.349,CYG,OC,64.44,nan,N=230; d=1154
ASCC 11,53.056,44.856,PER,OC,37.44,nan,N=276; d=854
ASCC 110,300.742,33.528,CYG,OC,24.36,nan,N=70; d=1902
ASCC 111,302.891,37.515,CYG,OC,64.44,nan,N=156; d=836
ASCC 113,317.933,38.638,CYG,OC,63.48,nan,N=196; d=558
ASCC 114,324.99,53.997,CYG,OC,25.92,nan,N=150; d=913
ASCC 115,329.28,51.558,CYG,OC,30.0,nan,N=39; d=746
ASCC 12,72.4,41.744,PER,OC,36.36,nan,N=162; d=1030
ASCC 123,340.299,53.986,LAC,OC,155.28,nan,N=55; d=233
ASCC 127,347.205,64.974,CEP,OC,75.24,nan,N=122; d=375
ASCC 128,349.949,54.435,CAS,OC,61.56,nan,N=72; d=650
ASCC 13,78.255,44.417,AUR,OC,73.08,nan,N=110; d=1078
ASCC 16,81.198,1.655,ORI,OC,45.12,nan,N=226; d=348
ASCC 19,81.982,-1.987,ORI,OC,72.6,nan,N=188; d=357
ASCC 21,82.179,3.527,ORI,OC,49.2,nan,N=131; d=345
ASCC 23,95.047,46.71,AUR,OC,38.28,nan,N=129; d=616
ASCC 29,103.571,-1.67,MON,OC,16.44,nan,N=54; d=1027
ASCC 30,104.271,-6.23,MON,OC,32.4,nan,N=59; d=1080
ASCC 32,105.714,-26.512,CMA,OC,78.72,nan,N=259; d=794
ASCC 41,116.674,0.137,CMI,OC,81.48,nan,N=127; d=295
ASCC 58,153.657,-55.001,VEL,OC,71.04,nan,N=137; d=478
ASCC 6,26.846,57.722,CAS,OC,22.56,nan,N=133; d=1537
ASCC 66,168.367,-55.437,CEN,OC,11.64,nan,N=22; d=972
