Name,RA,Dec,Con,OT,Mag,Diam,Other
PCG 0914+5419,138.58298,54.32303,UMA,CG,15.76,0.649,N=4
PCG 0953+5710,148.47043,57.178333,UMA,CG,15.5,0.9775,N=4
PCG 1001+5001,150.41098,50.01972,UMA,CG,16.14,0.616,N=4
PCG 1003+1904,150.98027,19.08185,LEO,CG,15.6,0.8423,N=4
PCG 1009+5603,152.41104,56.054985,UMA,CG,15.38,0.973,N=4
PCG 1013+1945,153.44113,19.76142,LEO,CG,15.96,0.596,N=4
PCG 1033+2253,158.4542,22.89153,LEO,CG,15.46,0.7847,N=4
PCG 1036+4450,159.20102,44.83271,UMA,CG,15.45,1.054,N=4
PCG 1039+2749,159.99532,27.82989,LMI,CG,16.1,0.4297,N=4
PCG 1042+3926,160.50575,39.44764,UMA,CG,15.14,1.059,N=4
PCG 1042+3639,160.64096,36.66087,LMI,CG,15.74,0.6567,N=4
PCG 1043+2817,160.91089,28.287045,LMI,CG,16.05,0.4524,N=4
PCG 1044+3536,161.2089,35.60144,LMI,CG,15.12,0.7207,N=4
PCG 1045+4931,161.36415,49.521484,UMA,CG,15.59,0.5684,N=4
PCG 1045+1758,161.41183,17.97403,LEO,CG,15.58,0.808,N=4
PCG 1048+2213,162.17268,22.219154,LEO,CG,14.88,1.37,N=4
PCG 1059+2728,164.95776,27.475525,LMI,CG,16.4,0.4014,N=4
PCG 1108+4021,167.03383,40.361965,UMA,CG,16.03,0.464,N=4
PCG 1109+3114,167.25204,31.23325,UMA,CG,15.33,0.7764,N=4
PCG 1109+4133,167.38962,41.566517,UMA,CG,15.3,1.116,N=4
PCG 1109+2033,167.42175,20.55649,LEO,CG,15.88,0.8022,N=4
PCG 1116+4200,169.09422,42.012695,UMA,CG,15.19,1.089,N=5
PCG 1123+3559,170.98605,35.990086,UMA,CG,15.18,1.051,N=5
PCG 1123+2128,170.99092,21.48199,LEO,CG,15.72,0.653,N=4
PCG 1124+4140,171.2198,41.670197,UMA,CG,16.1,0.7236,N=4
PCG 1125+2528,171.49933,25.474375,LEO,CG,15.38,0.8247,N=4
PCG 1129+4226,172.39589,42.43753,UMA,CG,15.56,0.7173,N=4
PCG 1131+3825,172.86667,38.422604,UMA,CG,15.79,0.8447,N=4
PCG 1133+1705,173.47867,17.093655,LEO,CG,16.27,0.618,N=4
PCG 1135+3714,173.7601,37.24537,UMA,CG,15.9,0.4275,N=4
PCG 1135+3042,173.84686,30.71631,UMA,CG,15.49,1.046,N=5
PCG 1135+1340,173.89815,13.67784,LEO,CG,15.51,0.8013,N=4
PCG 1136+3252,174.17108,32.877907,UMA,CG,15.78,0.7744,N=4
PCG 1137+3234,174.25722,32.568356,UMA,CG,15.48,0.794,N=4
PCG 1142+1407,175.638,14.127385,LEO,CG,15.4,0.5625,N=4
PCG 1143+2153,175.8899,21.899096,LEO,CG,15.71,0.893,N=5
PCG 1144+3053,176.10835,30.89015,UMA,CG,14.76,1.273,N=4
PCG 1156+2415,179.22807,24.266806,LEO,CG,15.31,1.024,N=4
PCG 1204+2149,181.11035,21.81829,COM,CG,15.19,0.567,N=4
PCG 1205+2029,181.45032,20.491985,COM,CG,15.91,0.6553,N=4
PCG 1211+1344,182.99155,13.73932,COM,CG,16.2,0.4324,N=4
PCG 1212+2235,183.21924,22.588474,COM,CG,15.21,0.509,N=4
PCG 1215+1534,183.81403,15.56669,COM,CG,15.49,0.9575,N=4
PCG 1221+2352,185.4676,23.86934,COM,CG,15.31,0.907,N=4
PCG 1225+2531,186.4374,25.531666,COM,CG,16.11,0.7256,N=4
PCG 1228+2725,187.24715,27.42933,COM,CG,14.9,1.128,N=5
PCG 1229+3640,187.44977,36.68087,CVN,CG,15.49,1.074,N=5
PCG 1233+4105,188.48569,41.09534,CVN,CG,16.25,0.796,N=4
PCG 1242+4217,190.53526,42.28389,CVN,CG,15.52,0.7944,N=4
PCG 1301+1915,195.48796,19.252125,COM,CG,15.39,0.694,N=4
PCG 1309+1553,197.36076,15.899625,COM,CG,16.05,0.712,N=4
PCG 1318+3217,199.67424,32.288754,CVN,CG,15.66,0.847,N=4
PCG 1415+2920,213.89633,29.34254,BOO,CG,15.38,1.035,N=4
PCG 1421+3530,215.495,35.51429,BOO,CG,16.11,0.5503,N=4
PCG 1452+2759,223.1645,27.98484,BOO,CG,16.1,0.695,N=4
PCG 1503+2805,225.87906,28.098675,BOO,CG,15.37,0.8945,N=4
PCG 1505+3603,226.48329,36.050995,BOO,CG,15.75,0.8438,N=4
PCG 1513+3604,228.36859,36.07474,BOO,CG,16.03,0.7993,N=4
PCG 1513+2756,228.46951,27.93855,BOO,CG,15.5,0.8457,N=4
PCG 1523+3100,230.80528,31.013136,CRB,CG,14.71,1.323,N=5
PCG 1525+2956,231.25912,29.935165,CRB,CG,15.07,0.613,N=4
PCG 1525+2824,231.33525,28.4145,CRB,CG,15.78,0.858,N=4
