Name,RA,Dec,Con,OT,Mag,Diam
ESO 011-01,308.875000,-83.050000,OCT,PN,nan,nan
NGC 3195,152.341708,-80.858500,CHA,PN,11.50,0.700
Vo 1,104.864125,-79.646417,MEN,PN,nan,0.000
ESO 040-11,203.562208,-75.774639,CHA,PN,nan,1.200
K 1-27,89.258500,-75.672472,MEN,PN,nan,0.767
He 2-434,293.462208,-74.549583,PAV,PN,nan,0.167
He 2-105,213.857708,-74.213972,APS,PN,nan,0.517
Wray 17-65,213.900000,-74.116667,APS,PN,nan,nan
LoTr 11,230.291125,-72.235361,APS,PN,nan,1.867
He 2-131,234.299083,-71.915139,APS,PN,nan,0.100
He 2-97,206.350500,-71.480361,MUS,PN,nan,0.083
He 2-62,169.428958,-70.825194,CAR,PN,nan,0.000
Wray 17-87,169.525000,-70.633333,CAR,PN,nan,nan
He 2-185,255.320250,-70.101611,TRA,PN,nan,0.083
IC 2448,136.776042,-69.938000,CAR,PN,10.50,0.150
He 2-71,174.797625,-68.868889,MUS,PN,nan,0.083
Wray 16-99,174.825000,-68.766667,MUS,PN,nan,nan
Y-C 2-14,190.850000,-68.216667,MUS,PN,nan,nan
IC 4191,197.201542,-67.642472,MUS,PN,12.00,0.083
LoTr 7,213.846167,-67.532667,CIR,PN,nan,0.267
Wray 16-150,214.750000,-67.483333,CIR,PN,nan,nan
MyCn 18,204.892042,-67.379389,MUS,PN,nan,0.067
NGC 4071,181.063750,-67.309861,MUS,PN,13.00,1.050
SMC 1,66.375000,-66.783333,RET,PN,nan,nan
HaTr 1,184.138708,-66.760667,MUS,PN,nan,1.200
NGC 5315,208.491250,-66.514472,CIR,PN,9.90,0.100
He 2-99,208.129333,-66.391111,CIR,PN,nan,0.283
ESO 095-12,187.602375,-66.240528,MUS,PN,nan,0.300
He 2-138,239.005542,-66.153083,TRA,PN,nan,0.117
Wray 17-59,199.876208,-66.152333,MUS,PN,nan,0.400
NGC 5189,203.424792,-65.974722,MUS,PN,9.50,2.333
He 2-68,172.943875,-65.970639,MUS,PN,nan,0.000
Wray 17-67,220.225000,-65.850000,CIR,PN,nan,nan
Wray 17-51,180.100000,-65.800000,MUS,PN,nan,nan
Wray 16-143,210.075000,-65.416667,CIR,PN,nan,nan
Wray 16-113,187.150000,-65.316667,MUS,PN,nan,nan
IC 2621,165.081542,-65.248500,CAR,PN,10.40,0.083
He 2-73,177.161208,-65.142778,MUS,PN,nan,0.067
MaC 1-2,208.612833,-64.991111,CIR,PN,nan,0.000
Wray 17-27,139.200000,-64.966667,CAR,PN,nan,nan
He 2-86,187.626458,-64.852639,MUS,PN,nan,0.060
He 2-103,211.403708,-64.682500,CIR,PN,nan,0.333
He 2-119,227.666333,-64.671972,TRA,PN,nan,0.883
Wray 17-40,151.731500,-64.362889,CAR,PN,nan,1.000
He 2-51,158.941292,-64.317833,CAR,PN,nan,0.152
Wray 16-146,212.925000,-64.283333,CEN,PN,nan,nan
He 2-182,253.647208,-64.242028,TRA,PN,nan,0.050
