Name,RA,Dec,Con,OT,Mag,Other
VdB 1,2.693200,58.769500,CAS,RN,8.60,SB=BR; Spect=A; Color=VB; Type=I
VdB 2,3.350800,65.613500,CAS,RN,9.50,SB=M; Spect=B5; Color=VB; Type=I
VdB 3,8.655700,69.434600,CAS,RN,8.50,SB=M; Spect=KO; Color=I; Type=I
VdB 4,10.826100,61.911100,CAS,RN,9.50,SB=F; Spect=BEQ; Color=B; Type=I-II
VdB 5,14.177200,60.716700,CAS,RN,2.57,SB=M; Spect=BOIV:E; Color=IVB; Type=II
VdB 6,25.930700,61.834300,CAS,RN,9.20,SB=F; Spect=B8IB; Color=MB; Type=II
VdB 7,42.231300,69.634300,CAS,RN,6.50,SB=F; Spect=A2V; Color=MB; Type=II
VdB 8,42.886500,67.815000,CAS,RN,8.50,SB=VBR; Spect=AO; Color=B; Type=I
VdB 9,42.994800,68.888500,CAS,RN,5.96,SB=F; Spect=F6IB-IIV; Color=B; Type=II
VdB 10,48.949900,57.140600,PER,RN,6.00,SB=F; Spect=AOIA; Color=I; Type=I
VdB 11,51.059100,61.538600,CAM,RN,8.37,SB=M; Spect=B5; Color=B; Type=II
VdB 12,51.349700,31.731100,PER,RN,7.00,SB=M; Spect=GK4; Color=MR; Type=I
VdB 13,51.458800,30.931700,ARI,RN,8.80,SB=F; Color=B; Type=I
VdB 14,52.267200,59.940300,CAM,RN,4.23,SB=M; Spect=B9IA; Color=B; Type=II
VdB 15,52.478100,58.878700,CAM,RN,4.58,SB=M; Spect=AOIA; Color=B; Type=II
VdB 16,52.087100,29.799200,ARI,RN,9.10,SB=M; Spect=A5; Color=MB; Type=II
VdB 17,52.332400,31.415800,PER,RN,9.50,SB=BR; Spect=B8P; Color=B; Type=I
VdB 18,53.799500,38.015200,PER,RN,7.58,SB=F; Spect=AO; Color=B; Type=II
VdB 19,56.142400,32.162800,PER,RN,8.53,SB=BR; Spect=B5V; Color=B; Type=I
VdB 20,56.218900,24.113300,TAU,RN,3.71,SB=M; Spect=B6III; Color=VB; Type=I
VdB 21,56.456700,24.367700,TAU,RN,3.88,SB=BR; Spect=B7III; Color=VB; Type=I
VdB 22,56.581600,23.948400,TAU,RN,4.18,SB=VBR; Spect=B6IVNN; Color=VB; Type=I
VdB 23,56.871200,24.105100,TAU,RN,2.87,SB=M; Spect=B7III; Color=VB; Type=I
VdB 24,57.401400,38.982100,PER,RN,8.80,SB=M; Spect=A2II+B6; Color=MB; Type=II
VdB 25,63.104200,23.574600,TAU,RN,7.50,SB=F; Spect=G5; Color=L; Type=II
VdB 26,63.394000,10.212500,TAU,RN,7.20,SB=M; Spect=B8; Color=VB; Type=I
VdB 27,65.489200,28.443200,TAU,RN,9.10,SB=F; Spect=DF8E-DG2E; Color=R; Type=I
VdB 28,65.497600,19.535100,TAU,RN,9.40,SB=F; Spect=DG5E; Color=R; Type=II P
VdB 29,72.094800,29.773000,TAU,RN,6.50,SB=M; Spect=B9; Color=B; Type=II
VdB 30,73.512500,66.342700,CAM,RN,4.30,SB=VF; Spect=O9.5IA; Color=L; Type=II
VdB 31,73.941000,30.551200,AUR,RN,6.80,SB=M; Spect=AOEP; Color=B; Type=I
VdB 32,75.590500,44.269600,AUR,RN,9.12,SB=F; Spect=B5IV; Color=B; Type=I-II
VdB 33,76.712700,-3.333300,ORI,RN,10.12,SB=BR; Spect=B9V; Color=VB; Type=I
VdB 34,79.075600,34.312300,AUR,RN,5.80,SB=BR; Spect=O9.5V; Type=I
VdB 35,78.747700,13.014100,ORI,RN,8.70,SB=M; Spect=G5; Color=MR; Type=I
VdB 36,78.634500,-8.201600,ORI,RN,0.15,SB=M; Spect=B8IA; Color=MB; Type=II
VdB 37,79.517000,13.417700,ORI,RN,8.20,SB=BR; Spect=GM5; Color=VR; Type=I
VdB 38,80.431500,8.428600,ORI,RN,5.77,SB=M; Spect=B1V; Color=I; Type=II
VdB 39,81.123100,32.819100,AUR,RN,9.50,SB=F; Spect=A5; Color=MB; Type=II
VdB 40,81.408900,6.588200,ORI,RN,9.00,SB=M; Spect=KO; Color=I  :; Type=I
VdB 41,82.295600,23.694400,TAU,RN,9.30,SB=VF; Spect=F2; Color=MB; Type=I
VdB 42,82.826700,-5.703800,ORI,RN,9.46,SB=F; Spect=DA7; Color=MR; Type=II
VdB 43,83.030900,6.047000,ORI,RN,9.00,SB=BR; Color=B; Type=I
VdB 44,83.061800,-4.518400,ORI,RN,8.11,SB=F; Spect=B9; Color=VB; Type=II
VdB 45,84.170100,31.854500,AUR,RN,9.50,SB=BR; Spect=B8; Color=MB; Type=I
VdB 46,84.106000,-6.716000,ORI,RN,9.30,SB=VBR; Spect=PEC; Color=I  :; Type=I
VdB 47,84.811800,23.323400,TAU,RN,7.80,SB=VF; Spect=GKO; Color=VR; Type=II
VdB 48,84.527100,-0.184300,ORI,RN,7.46,SB=F; Spect=B9; Color=VB; Type=II
VdB 49,84.796400,4.121500,ORI,RN,4.50,SB=B; Spect=B3IIIE; Color=VB; Type=I
VdB 50,85.056400,-1.462600,ORI,RN,7.67,SB=B; Spect=B5N; Color=VB; Type=I
VdB 51,85.234900,-1.507200,ORI,RN,6.98,SB=VBR; Spect=B2V; Color=B; Type=I
VdB 52,85.410000,-2.259000,ORI,RN,7.82,SB=VBR; Spect=B1.5V; Color=B; Type=I
VdB 53,85.357900,-10.311700,ORI,RN,9.50,SB=VF; Color=MB; Type=I
VdB 54,85.450000,-6.250000,ORI,RN,9.50,SB=BR; Color=B; Type=I
VdB 55,85.588800,-8.133400,ORI,RN,8.70,SB=F; Spect=B9; Color=MB; Type=I
VdB 56,85.930700,16.358500,TAU,RN,9.00,SB=BR; Spect=AO; Color=B; Type=I
VdB 57,85.752400,-2.312600,ORI,RN,8.30,SB=VBR; Spect=B3N; Color=VB; Type=I
VdB 58,86.111500,-8.710600,ORI,RN,9.50,SB=VF; Color=MR; Type=I
VdB 59,86.680700,0.076600,ORI,RN,10.49,SB=VBR; Spect=B5; Color=I; Type=I
VdB 60,86.783000,0.299000,ORI,RN,9.50,SB=BR; Spect=F8; Color=I; Type=I
VdB 61,88.154700,5.164600,ORI,RN,8.60,SB=VF; Spect=G5; Color=MB; Type=II
VdB 62,88.512500,1.672800,ORI,RN,9.50,SB=M; Spect=K2; Color=MR; Type=I
VdB 63,89.072900,1.864700,ORI,RN,9.20,SB=F; Spect=K; Color=MR; Type=I
VdB 64,89.475000,-14.066700,LEP,RN,10.00,SB=M; Color=MB; Type=I
VdB 65,91.125000,30.516700,AUR,RN,9.50,SB=BR; Color=MB; Type=I
VdB 66,90.772300,-9.716600,MON,RN,9.30,SB=MF; Color=B; Type=I
VdB 67,91.882700,-6.399400,MON,RN,9.50,SB=VB; Spect=B1; Color=MB; Type=I
VdB 68,92.016000,-6.227200,MON,RN,9.00,SB=M; Spect=B9; Color=B; Type=I
VdB 69,92.021600,-6.361300,MON,RN,9.00,SB=M; Spect=B8; Color=I; Type=I
VdB 70,92.109500,-5.339600,MON,RN,8.50,SB=F; Spect=B3; Color=I; Type=I-II
VdB 71,92.506900,14.075200,ORI,RN,9.00,SB=F; Spect=B2; Color=B; Type=II
VdB 72,92.380200,-6.325800,MON,RN,9.00,SB=VBR; Spect=B4; Color=B; Type=I
VdB 73,92.775500,-6.210500,MON,RN,nan,SB=BR; Color=MB; Type=I
VdB 74,92.953300,-6.157700,MON,RN,9.70,SB=BR; Spect=B6; Color=MB; Type=I
VdB 75,94.843800,23.274500,GEM,RN,7.50,SB=M; Spect=B9II; Color=VB; Type=I
VdB 76,93.057600,13.686700,ORI,RN,9.30,SB=M; Spect=B8; Color=MB; Type=II
VdB 77,97.741300,9.809600,MON,RN,9.50,SB=M; Spect=B8; Color=VB; Type=I-II
VdB 78,97.811900,9.790300,MON,RN,8.80,SB=BR; Spect=B3; Color=VB; Type=I-II
VdB 79,97.930500,10.339200,MON,RN,9.40,SB=F; Spect=A2; Color=MB; Type=II
VdB 80,97.707600,-9.654100,MON,RN,8.60,SB=M; Spect=B8; Color=B; Type=I
VdB 81,98.225900,7.333000,MON,RN,4.48,SB=M; Spect=AOIB; Color=VB; Type=I
VdB 82,98.271600,10.322200,MON,RN,8.74,SB=BR; Spect=B6PE; Color=I; Type=I
VdB 83,99.925000,-27.250000,CMA,RN,9.50,SB=BR; Color=VB; Type=I
VdB 84,57.306400,-26.960000,FOR,RN,nan,SB=M; Color=VB; Type=I
VdB 85,101.715200,1.315800,MON,RN,9.30,SB=M; Spect=B3; Color=I; Type=I-II
VdB 86,104.283000,-10.279900,MON,RN,8.20,SB=M; Spect=B8; Color=VB; Type=II
VdB 87,105.119200,-8.866000,MON,RN,8.80,SB=BR; Spect=B8; Color=MB; Type=I
VdB 88,105.456300,-11.300900,CMA,RN,7.20,SB=F; Spect=B3E; Color=I; Type=I
VdB 89,105.650000,-12.233300,CMA,RN,9.50,SB=VF; Color=B; Type=I
VdB 90,105.677600,-11.453200,CMA,RN,8.70,SB=F; Spect=B3N; Color=I; Type=I
VdB 91,105.852300,-10.704500,MON,RN,9.40,SB=F; Color=B; Type=II
VdB 92,105.978600,-11.576100,CMA,RN,9.20,SB=VF; Color=I  :; Type=I
VdB 93,106.106400,-10.454400,MON,RN,6.97,SB=VBR; Spect=BOIV:E; Color=I; Type=I
VdB 94,106.319800,-12.326200,CMA,RN,8.50,SB=VBR; Spect=B9; Color=I; Type=I
VdB 95,106.669900,-11.294000,CMA,RN,5.38,SB=F; Spect=BO.5IV; Color=I  :; Type=II
VdB 96,109.906200,-24.024400,CMA,RN,9.20,SB=M; Spect=B9; Color=B; Type=I
VdB 97,113.125000,-16.900000,PUP,RN,9.90,SB=M; Color=B; Type=I-II
VdB 98,114.132600,-25.332800,PUP,RN,7.30,SB=M; Spect=B5; Color=VB; Type=I
VdB 99,239.713000,-26.114100,SCO,RN,2.89,SB=M; Spect=B1V; Color=VB; Type=II
VdB 100,242.998900,-19.460700,SCO,RN,4.03,SB=M; Spect=B2IV-V; Color=MB; Type=II
VdB 101,244.782200,-20.218100,SCO,RN,6.37,SB=F; Spect=K5III; Color=MR; Type=I
VdB 102,245.016600,-20.044900,SCO,RN,8.08,SB=BR; Spect=B9.5V; Color=VB; Type=I
VdB 103,245.126100,-20.117700,SCO,RN,7.30,SB=M; Spect=AO+AO; Color=B; Type=I
VdB 104,245.297200,-25.592800,SCO,RN,2.89,SB=M; Spect=B1III; Color=I; Type=I
VdB 105,246.351300,-24.465700,OPH,RN,7.89,SB=M; Spect=B2V; Color=MB; Type=I
VdB 106,246.396300,-23.447200,OPH,RN,4.61,SB=BR; Spect=B2V+B2V; Color=VB; Type=I
VdB 107,247.351900,-26.432000,SCO,RN,0.92,SB=M; Spect=M1IB+DB4; Color=VR; Type=I
VdB 108,247.552000,-25.115200,SCO,RN,4.78,SB=M; Spect=B2V; Color=VB; Type=I
VdB 109,250.393300,-17.742200,OPH,RN,5.30,SB=VF; Spect=G8II; Color=MR; Type=II
VdB 110,259.027100,-21.032900,OPH,RN,9.40,SB=M; Color=MB; Type=I
