Name,RA,Dec,Con,OT,Mag,Diam,Other
SHK 1,163.70891699999999,40.4666,UMA,CG,17.0,84.0,N=17
SHK 2,175.94229199999998,51.41815,UMA,CG,17.0,1.5,N=9
SHK 3,168.976042,53.75365,UMA,CG,18.0,0.96,N=5
SHK 4,244.955646,61.71015,DRA,CG,17.0,1.2,N=8; z=0.09886
SHK 5,169.27625,54.92025,UMA,CG,17.0,1.02,N=5; z=0.13918
SHK 6,169.71606200000002,51.74655,UMA,CG,16.0,2.28,N=7
SHK 7,166.480208,39.7864,UMA,CG,17.5,1.08,N=7
SHK 8,240.920187,52.35315,DRA,CG,17.5,0.78,N=7
SHK 9,201.019354,19.0368,COM,CG,16.0,2.76,N=17
SHK 10,212.69356299999998,46.25975,BOO,CG,17.5,8.76,N=30
SHK 11,212.76458300000002,44.72055,BOO,CG,17.0,7.92,N=9
SHK 12,244.184146,53.54295,DRA,CG,17.5,2.28,N=7
SHK 13,251.34,53.71455,DRA,CG,17.5,2.34,N=10
SHK 14,216.332292,47.2525,BOO,CG,16.0,0.96,N=6
SHK 15,215.259354,44.5532,BOO,CG,16.5,3.0599999999999996,N=13
SHK 16,252.291896,53.4142,DRA,CG,14.0,5.52,N=14; z=0.0304
SHK 17,136.384604,77.67,CAM,CG,18.5,3.9000000000000004,N=5
SHK 18,133.411646,79.15405,CAM,CG,16.0,3.7800000000000002,N=8
SHK 19,202.125396,15.841,COM,CG,16.5,0.36,N=5
SHK 20,236.704146,55.01665,DRA,CG,17.0,3.12,N=20
SHK 21,356.718354,-1.72205,PSC,CG,16.0,4.08,N=12
SHK 22,236.429396,55.11585,DRA,CG,16.5,2.04,N=13
SHK 23,242.515187,52.24765,DRA,CG,18.0,0.96,N=8
SHK 24,356.737083,0.86585,PSC,CG,18.5,3.0,N=5
SHK 25,238.023542,56.45735,DRA,CG,18.5,1.44,N=8
SHK 26,165.508333,50.3664,UMA,CG,16.5,6.9,N=9
SHK 27,353.180604,1.5625,PSC,CG,17.0,2.52,N=15
