Name,RA,Dec,Con,OT,Mag,Diam,Other
VV 1,202.468300,47.198300,CVN,PG,8.96,0.280,Arp 85
VV 10,259.833750,49.025000,HER,PG,14.86,0.036,Arp 102
VV 100,208.939600,-6.003100,VIR,PG,14.50,0.040,
VV 1000,30.656700,-6.240600,CET,PG,15.50,0.025,
VV 1001,30.735800,-14.608900,CET,PG,16.00,0.020,
VV 1002,30.921700,26.276100,ARI,PG,15.00,0.015,
VV 1003,31.321700,34.789200,TRI,PG,15.40,0.020,
VV 1004,31.633300,17.005000,ARI,PG,15.60,0.018,
VV 1005,32.035650,-34.352350,FOR,PG,15.00,0.006,
VV 1006,32.089200,41.479200,AND,PG,14.11,0.037,Arp 74
VV 1007,32.382900,-10.158750,CET,PG,12.91,0.104,Arp 318
VV 1008,32.410800,35.797200,TRI,PG,14.30,0.058,5Zw191
VV 1009,32.654400,-6.598900,CET,PG,16.00,0.063,
VV 101,261.857250,58.516400,DRA,PG,14.00,0.005,Arp 310;Arp 310/311
VV 1010,32.843950,25.825950,ARI,PG,16.00,0.009,
VV 1011,33.523300,5.173300,CET,PG,14.70,0.020,
VV 1012,33.737100,-20.211700,CET,PG,13.52,0.050,
VV 1013,34.165000,-29.950600,FOR,PG,15.32,0.030,
VV 1014,34.244950,30.938900,TRI,PG,15.60,0.027,
VV 1015,34.521200,38.076900,AND,PG,13.95,0.022,
VV 1016,34.589600,-9.291400,CET,PG,15.00,0.020,
VV 1017,35.521200,33.946100,TRI,PG,14.65,0.030,
VV 1018,35.686200,-3.969400,CET,PG,16.00,0.022,
VV 1019,35.790400,41.369050,AND,PG,13.84,0.012,5Zw229;Arp 145
VV 102,316.108300,16.083300,DEL,PG,15.10,0.037,
VV 1020,35.835000,32.192750,TRI,PG,15.01,0.015,5Zw233
VV 1021,36.185000,42.623300,AND,PG,13.90,0.043,
VV 1022,36.310800,-40.431550,ERI,PG,15.63,0.008,
VV 1023,36.600000,27.658300,ARI,PG,14.79,0.020,
VV 1024,36.692900,41.834400,AND,PG,14.93,0.022,
VV 1025,36.918700,-9.912500,CET,PG,15.84,0.015,
VV 1026,36.942900,26.590000,ARI,PG,14.52,0.022,5Zw244
VV 1027,37.060400,31.311700,TRI,PG,13.57,0.098,
VV 1028,37.136200,-19.039700,CET,PG,13.18,0.050,
VV 1029,37.204600,38.166900,AND,PG,15.15,0.022,
VV 103,211.737500,10.461700,BOO,PG,14.50,0.020,
VV 1030,37.725000,3.855000,CET,PG,15.70,0.015,
VV 1031,37.805800,43.339200,AND,PG,15.30,0.025,
VV 1032,38.105800,-18.642500,CET,PG,14.87,0.025,
VV 1033,38.459400,11.203300,ARI,PG,14.90,0.005,
VV 1034,38.550000,32.985000,TRI,PG,15.70,0.015,
VV 1035,38.698500,32.843750,TRI,PG,13.30,0.006,
VV 1036,38.995800,10.433300,CET,PG,16.00,0.033,
VV 1037,39.733750,-14.314300,CET,PG,14.50,0.021,
VV 1038,40.117900,-2.723750,CET,PG,14.70,0.040,
VV 1039,40.128750,39.060300,PER,PG,10.38,0.050,Arp 135
VV 104,183.434200,36.632800,CVN,PG,13.90,0.043,
VV 1040,40.153550,-8.540550,CET,PG,15.49,0.016,
VV 1041,40.229600,8.595600,CET,PG,14.93,0.028,
VV 1042,40.272500,8.733050,CET,PG,14.40,0.067,
VV 1043,41.099950,-9.736250,CET,PG,15.50,0.013,
VV 1044,41.359600,18.130300,ARI,PG,15.40,0.018,
VV 1045,41.463800,16.425600,ARI,PG,15.60,0.010,
VV 1046,41.516700,15.852200,ARI,PG,14.80,0.015,
VV 1047,41.560400,-30.251350,FOR,PG,10.23,0.058,Arp 77
VV 1048,42.166300,-4.614200,ERI,PG,15.50,0.013,
VV 1049,42.622700,-34.857900,FOR,PG,14.00,0.130,
VV 105,178.183350,1.741100,VIR,PG,14.18,0.004,
VV 1050,42.750850,3.527750,CET,PG,16.00,0.010,
VV 1051,42.804400,13.188750,ARI,PG,15.50,0.007,
VV 1052,43.107100,-14.549700,ERI,PG,15.00,0.025,
VV 1053,43.421700,13.014700,ARI,PG,13.05,0.062,Arp 200
VV 1054,43.507100,14.973650,ARI,PG,15.50,0.006,
