Name,RA,Dec,Con,OT,Other
WBL 001,1.215600,-1.555000,PSC,G+,Rich=3; z=0.02394
WBL 002,1.241100,5.195000,PSC,G+,Rich=5; z=0.01450
WBL 003,1.766700,8.328300,PSC,G+,Rich=3; z=0.01523
WBL 004,1.873700,47.028200,AND,G+,Rich=3
WBL 005,3.533000,48.211200,AND,G+,Rich=6; z=0.01191
WBL 006,3.599300,28.511200,AND,G+,Rich=3; z=0.02342
WBL 007,4.602600,30.044300,AND,G+,Rich=13; z=0.02197
WBL 008,5.354500,29.644000,AND,G+,Rich=3; z=0.02201
WBL 009,5.350700,22.444000,AND,G+,Rich=11; z=0.01962
WBL 010,7.292300,2.843000,PSC,G+,Rich=3; z=0.01534
WBL 011,7.768800,5.159400,PSC,G+,Rich=3; z=0.04295
WBL 012,7.846000,8.442700,PSC,G+,Rich=3; z=0.01446
WBL 013,9.641000,29.541400,AND,G+,Rich=6; z=0.01820
WBL 014,9.787500,25.657900,AND,G+,Rich=3; z=0.01539
WBL 015,9.841300,0.874600,CET,G+,Rich=3; z=0.01418
WBL 016,9.846000,6.791200,PSC,G+,Rich=4; z=0.03847
WBL 017,10.762400,23.490400,AND,G+,Rich=4; z=0.02442
WBL 018,11.672400,30.272900,AND,G+,Rich=3; z=0.01706
WBL 019,13.700800,28.804200,PSC,G+,Rich=3; z=0.02282
WBL 020,13.805300,31.604000,PSC,G+,Rich=4; z=0.01957
WBL 021,14.089100,-1.229600,CET,G+,Rich=14; z=0.04527
WBL 022,14.455200,30.336600,PSC,G+,Rich=3; z=0.01693
WBL 023,14.781500,12.986200,PSC,G+,Rich=3
WBL 024,15.307200,30.135600,PSC,G+,Rich=4; z=0.02277
WBL 025,16.865600,32.400200,PSC,G+,Rich=8; z=0.01706
WBL 026,17.117800,33.133200,PSC,G+,Rich=3; z=0.01557
WBL 027,17.143600,33.483100,PSC,G+,Rich=4; z=0.02291
WBL 028,17.291400,32.132900,PSC,G+,Rich=3; z=0.01708
WBL 029,17.292500,32.716300,PSC,G+,Rich=3; z=0.01715
WBL 030,17.492400,32.382700,PSC,G+,Rich=3; z=0.01732
WBL 031,17.744700,33.149000,PSC,G+,Rich=4; z=0.01730
WBL 032,18.264300,15.531500,PSC,G+,Rich=3; z=0.04425
WBL 033,18.240000,-0.285100,CET,G+,Rich=3; z=0.01798
WBL 034,18.718200,1.814200,CET,G+,Rich=4; z=0.04260
WBL 035,18.973200,33.063800,PSC,G+,Rich=3; z=0.01696
WBL 036,19.060100,46.747000,AND,G+,Rich=3; z=0.01698
WBL 037,20.449300,5.278100,PSC,G+,Rich=4; z=0.00750
WBL 038,20.829500,33.360800,PSC,G+,Rich=22; z=0.01902
WBL 039,20.953200,32.693900,PSC,G+,Rich=3; z=0.01797
WBL 040,21.081400,33.843700,AND,G+,Rich=3; z=0.01763
WBL 041,21.152600,32.210200,PSC,G+,Rich=3; z=0.03514
WBL 042,21.132800,9.960200,PSC,G+,Rich=3; z=0.00855
WBL 043,21.219000,2.060100,CET,G+,Rich=3; z=0.03233
WBL 044,21.316900,14.859900,PSC,G+,Rich=3; z=0.02146
WBL 045,21.387900,-1.456900,CET,G+,Rich=25; z=0.01802
WBL 046,21.535000,34.726200,AND,G+,Rich=4; z=0.01612
WBL 047,21.912000,-1.907800,CET,G+,Rich=4; z=0.01752
WBL 048,22.300900,39.458200,AND,G+,Rich=3; z=0.02711
WBL 049,23.488400,-1.060700,CET,G+,Rich=3; z=0.01603
