Name,RA,Dec,Con,OT,Mag,Other
PSS J0000+2357,0.038611,23.954722,PEG,DQ,21.10,z=4.03
SDSS J000037.00+244856.1,0.154184,24.815610,PEG,DQ,21.30,z=4.171
SDSS J000124.23+111212.6,0.350976,11.203525,PEG,DQ,22.50,z=4.297
PSS J0002+3732,0.691944,37.543611,AND,DQ,21.80,z=4.21
Q 0000-26,0.845556,-26.055000,SCL,DQ,20.40,z=4.111000000000001
PSS J0003+2730,0.846111,27.506667,PEG,DQ,21.10,z=4.23
SDSS J000404.71+000039.0,1.019638,0.010856,PSC,DQ,23.20,z=4.31
SDSS J000457.11-000538.7,1.237970,-0.094106,PSC,DQ,22.90,z=4.05
SDSS J000527.14+025813.2,1.363108,2.970358,PSC,DQ,22.00,z=4.109
SDSS J000554.03+003042.0,1.475132,0.511677,PSC,DQ,21.30,z=4.137
PSS J0006+2714,1.638889,27.246944,PEG,DQ,21.20,z=4.48
SDSS J000637.99-003656.2,1.658319,-0.615639,PSC,DQ,23.80,z=4.435
BR J0006-6208,1.715000,-62.134444,TUC,DQ,22.40,z=4.455
PSS J0007+2417,1.910833,24.290278,PEG,DQ,20.80,z=4.05
SDSS J001115.23+144601.8,2.813487,14.767168,PEG,DQ,22.10,z=4.9639999999999995
SDSS J001134.52+155137.4,2.893871,15.860398,PEG,DQ,22.90,z=4.345
SDSS J001214.66+120344.8,3.061102,12.062469,PSC,DQ,22.50,z=4.106
SDSS J001311.62+341513.9,3.298435,34.253868,AND,DQ,21.50,z=4.033
SDSS J001357.16-083334.7,3.488204,-8.559651,CET,DQ,21.40,z=4.1930000000000005
PSS J0014+3032,3.678611,30.534167,AND,DQ,21.20,z=4.47
SDSS J001527.57+215405.9,3.864888,21.901643,AND,DQ,22.20,z=4.004
SDSS J001537.51+021908.8,3.906304,2.319133,PSC,DQ,21.00,z=4.229
SDSS J001813.88+142455.6,4.557870,14.415467,PSC,DQ,21.20,z=4.234
BR J0018-3527,4.657778,-35.461111,SCL,DQ,21.20,z=4.15
SDSS J001918.43+150611.3,4.826815,15.103159,PSC,DQ,22.00,z=4.137
SDSS J001950.05-004040.8,4.958576,-0.678008,PSC,DQ,22.10,z=4.34
BR 0019-1522,5.533333,-15.094444,CET,DQ,22.40,z=4.52
SDSS J002618.67+140946.6,6.577817,14.162962,PSC,DQ,22.90,z=4.578
PC 0027+0521,7.518889,5.637222,PSC,DQ,23.70,z=4.21
PSS J0030+1702,7.567500,17.043889,PSC,DQ,20.80,z=4.282
BR J0030-5129,7.643333,-51.496111,PHE,DQ,21.60,z=4.1739999999999995
SDSS J003117.70+001705.0,7.823759,0.284739,CET,DQ,23.80,z=4.335
SDSS J003126.79+150739.5,7.861659,15.127645,PSC,DQ,21.80,z=4.29
SDSS J003329.54+235544.0,8.373115,23.928906,AND,DQ,22.40,z=4.072
SDSS J003341.89+012705.6,8.424581,1.451575,CET,DQ,23.40,z=4.284
SDSS J003401.28-080359.4,8.505362,-8.066521,CET,DQ,21.80,z=4.029
SDSS J003430.48+055127.1,8.627037,5.857530,PSC,DQ,22.10,z=4.07
SDSS J003453.58+221540.4,8.723274,22.261242,AND,DQ,21.00,z=4.085
PSS J0034+1639,8.727500,16.655833,PSC,DQ,21.10,z=4.293
SDSS J003523.09+300008.0,8.846211,30.002225,AND,DQ,23.30,z=4.238
SDSS J003538.91+194352.3,8.912159,19.731201,PSC,DQ,23.80,z=4.274
SDSS J003618.84-004629.9,9.078506,-0.774982,CET,DQ,20.90,z=4.04
SDSS J003716.52+032327.7,9.318872,3.391041,PSC,DQ,22.40,z=4.066
