Name,RA,Dec,Con,OT,Mag,Other
FGC 2563,0.510900,80.641970,CEP,GX,16.25,Sc
FGC 7,1.814550,33.917370,AND,GX,16.60,Sc
FGC 7A,6.818850,44.054240,AND,GX,16.33,Sd
FGC 53,7.346250,31.382780,AND,GX,16.51,Sc
FGC 62,8.776200,45.529440,AND,GX,16.30,Sc
FGC 66,9.475350,32.689210,AND,GX,16.16,Sc
FGC 74,10.265100,31.732820,AND,GX,14.72,Sc
FGC 112,14.647500,45.005280,AND,GX,17.34,Sc
FGC 139,18.592950,50.227300,CAS,GX,16.65,Sd
FGC 138,18.528150,38.122520,AND,GX,16.14,Sbc
FGC 141,18.684900,50.452560,AND,GX,16.63,Sc
FGC 145,19.405950,49.009450,AND,GX,16.62,Sd
FGC 170,22.202850,34.345830,AND,GX,16.85,Sc
FGC 17A,22.336500,32.064260,PSC,GX,17.47,Sc
FGC 179,24.513900,32.494050,TRI,GX,15.70,Sc
FGC 192,26.292300,32.123190,TRI,GX,16.70,Sc
FGC 199,27.888150,41.836830,AND,GX,16.00,Sc
FGC 210,29.088000,37.452180,AND,GX,15.93,Sc
FGC 218,29.777700,36.063020,AND,GX,15.29,Sc
FGC 229,30.901500,48.455250,PER,GX,16.15,Sc
FGC 237,31.312050,30.004720,TRI,GX,16.77,Scd
FGC 239,31.478250,50.737730,PER,GX,16.50,Sc
FGC 246,31.840050,43.773060,AND,GX,16.25,Sd
FGC 249,32.360550,37.258130,TRI,GX,16.73,Sc
FGC 251,32.550000,41.562220,AND,GX,17.30,Sd
FGC 264,33.837600,49.844190,AND,GX,16.64,Sc
FGC 285,36.075900,33.608960,TRI,GX,16.82,Scd
FGC 287,36.131550,31.615270,TRI,GX,14.92,Scd
FGC 289,36.314100,45.452140,AND,GX,15.49,Sc
FGC 297,37.050300,43.590160,AND,GX,17.04,Sd
FGC 296,36.957450,31.725990,TRI,GX,15.37,Sc
FGC 38A,38.860650,40.894500,AND,GX,17.34,Sd
FGC 322,39.405900,42.635920,AND,GX,15.12,Sb
FGC 41A,40.104600,38.563330,PER,GX,14.87,Sd
FGC 328,40.114650,30.080250,ARI,GX,16.35,Scd
FGC 339,41.241600,30.377910,ARI,GX,16.65,Sd
FGC 353,43.235400,42.243060,PER,GX,16.74,Sc
FGC 361,44.039100,37.056390,PER,GX,16.53,Scd
FGC 366,44.565300,36.499870,PER,GX,16.69,Sd
FGC 371,45.153450,49.043840,PER,GX,16.70,Sd
FGC 379,45.639750,46.438390,PER,GX,17.15,Scd
FGC 385,46.752300,36.167640,PER,GX,15.60,Sab
FGC 386,47.229750,70.563280,CAS,GX,15.88,Sb
FGC 405,49.381500,37.046530,PER,GX,16.52,Sc
FGC 403,49.343250,36.568470,PER,GX,16.31,Sc
FGC 412,50.521950,42.171080,PER,GX,15.65,Sc
FGC 54A,51.433200,42.062370,PER,GX,16.82,Scd
FGC 55A,51.502200,42.024580,PER,GX,16.87,Sc
FGC 426,51.949950,40.033880,PER,GX,16.12,Sc
FGC 56A,52.840950,39.426300,PER,GX,16.86,Sbc
FGC 1951,67.607700,88.770880,UMI,GX,16.70,Sc
FGC 536,82.547400,55.870820,AUR,GX,16.75,Sd
FGC 538,84.146250,63.587410,CAM,GX,16.73,Sc
FGC 543,87.493950,51.093110,AUR,GX,15.62,Sc
FGC 557,93.328500,53.112380,AUR,GX,17.10,Scd
FGC 83A,93.297150,70.262800,CAM,GX,16.50,I
FGC 551,93.449850,81.074350,CAM,GX,15.52,Sb
FGC 567,97.204800,56.066380,LYN,GX,16.45,Sc
FGC 568,97.724100,59.603340,LYN,GX,15.95,Sc
FGC 570,98.330700,58.859520,LYN,GX,16.32,Sc
FGC 571,98.509200,58.861450,LYN,GX,15.53,Sbc
FGC 561,98.595300,85.330880,CEP,GX,16.82,Sc
FGC 579,100.372950,63.997780,CAM,GX,17.16,Sc
FGC 590,103.714500,70.748200,CAM,GX,16.14,Sc
FGC 591,105.399750,83.382010,CAM,GX,16.78,Sc
FGC 596,106.005150,50.680250,LYN,GX,15.44,Sbc
FGC 599,107.600400,74.891020,CAM,GX,15.41,Sc
FGC 605,107.876850,59.711500,LYN,GX,16.44,Sc
FGC 611,108.769950,38.144720,AUR,GX,15.75,Sc
FGC 617,109.382850,33.975070,GEM,GX,15.51,Sc
FGC 622,109.955100,57.354970,LYN,GX,17.28,Sc
FGC 625,110.605050,49.278660,LYN,GX,16.47,Sd
FGC 628,111.438600,55.615870,LYN,GX,16.86,Sc
FGC 630,111.916800,48.446030,LYN,GX,16.45,Sc
FGC 624,111.673950,81.046810,CAM,GX,16.78,Sc
FGC 635,113.911500,66.415100,CAM,GX,16.05,Sb
FGC 642,114.421200,59.846460,CAM,GX,16.68,Scd
FGC 646,115.259850,66.898640,CAM,GX,16.40,Sb
FGC 639,114.396900,66.332730,CAM,GX,16.61,Sc
FGC 651,115.659450,61.561630,CAM,GX,15.98,Sc
FGC 659,116.757150,52.227540,LYN,GX,15.88,Sc
FGC 673,118.517100,61.153070,CAM,GX,17.46,Sc
FGC 674,118.660200,60.196880,CAM,GX,16.21,Sc
FGC 679,118.850250,56.167590,LYN,GX,16.86,Sc
FGC 680,118.895700,56.157070,LYN,GX,16.62,Sc
FGC 696,120.258600,59.139720,LYN,GX,16.24,Sc
FGC 701,121.033200,62.983860,CAM,GX,15.42,Sc
FGC 702,121.043100,62.964390,CAM,GX,16.38,Sbc
FGC 703,121.057650,62.981600,CAM,GX,15.51,Sbc
FGC 709,121.660500,67.048410,CAM,GX,15.70,Sbc
FGC 101A,130.887450,74.643400,CAM,GX,18.49,Sc
FGC 826,135.383400,50.615590,UMA,GX,15.90,Sd
FGC 847,137.560050,52.723060,UMA,GX,16.90,Sc
FGC 855,139.074900,79.274870,CAM,GX,15.93,Sc
FGC 930,145.880850,34.042010,LMI,GX,16.02,Sc
FGC 962,148.336500,42.844980,UMA,GX,15.81,Sc
FGC 980,149.428650,36.069100,LMI,GX,16.98,Sc
FGC 1051,155.195850,73.284270,DRA,GX,16.32,Sbc
FGC 1079,157.691250,73.885420,DRA,GX,15.33,Sc
FGC 1088,157.883400,32.355880,LMI,GX,16.10,Sc
FGC 1105,159.342450,37.077640,LMI,GX,15.84,Sc
FGC 1117,160.360050,69.706110,UMA,GX,16.84,Sc
FGC 1134,162.033000,74.607090,DRA,GX,16.80,Sc
FGC 133A,162.958950,77.571960,DRA,GX,16.24,
FGC 134A,162.997950,77.547350,DRA,GX,17.23,
FGC 1184,165.481350,47.094950,UMA,GX,15.90,Sbc
FGC 152A,171.224850,37.925160,UMA,GX,17.23,SABd
FGC 1366,181.673550,80.920020,CAM,GX,15.80,Sbc
FGC 1388,183.477450,74.501400,DRA,GX,15.85,Sc
FGC 1394,183.948750,52.125740,CVN,GX,16.76,Sc
FGC 1486,190.208700,73.718930,DRA,GX,16.27,Sc
FGC 1506,192.349350,69.587710,DRA,GX,16.52,Sc
FGC 1596,199.310100,81.360720,CAM,GX,16.47,Sc
FGC 1672,206.831850,72.679560,UMI,GX,16.12,Sc
FGC 1681,208.156350,68.429110,DRA,GX,16.73,Sbc
FGC 1715,211.735800,72.122480,UMI,GX,15.76,Sc
FGC 1745,214.316550,82.620400,CAM,GX,16.69,Sc
FGC 1840,224.689200,41.765640,BOO,GX,15.60,I
FGC 1987,240.752850,77.606450,UMI,GX,15.77,Sbc
FGC 1992,242.242950,36.610780,CRB,GX,15.27,Sc
FGC 2043,247.273200,79.483920,UMI,GX,15.95,Sbc
FGC 2045,248.142150,67.746700,DRA,GX,16.39,Sbc
FGC 2049,248.643750,57.319260,DRA,GX,16.17,Sc
FGC 2066,251.095050,58.842780,DRA,GX,16.73,Sc
FGC 2070,251.650050,62.822710,DRA,GX,14.86,Sb
FGC 2094,253.363500,79.069010,UMI,GX,15.71,Sc
FGC 2088,253.840350,58.659950,DRA,GX,17.08,Sd
FGC 2090,253.718850,70.438100,DRA,GX,15.37,Sc
FGC 246A,253.971900,54.397710,DRA,GX,16.52,Sc
FGC 2096,254.526900,58.885590,DRA,GX,16.35,Sc
FGC 2108,256.278600,52.706180,DRA,GX,16.13,Sb
FGC 2114,257.707200,45.854150,HER,GX,16.16,Sc
FGC 2129,260.239200,42.155520,HER,GX,15.96,Sc
FGC 2143,261.531600,77.703600,DRA,GX,15.69,Sc
FGC 2145,262.920750,32.231740,HER,GX,15.65,Scd
FGC 2166,267.930000,37.388890,HER,GX,16.71,Sc
FGC 2172,269.760750,57.118340,DRA,GX,16.80,Sc
FGC 2179,270.742800,52.114550,DRA,GX,16.70,Sbc
FGC 2183,271.151100,60.248880,DRA,GX,16.46,Sc
FGC 2213,271.647150,87.809510,UMI,GX,15.91,Sc
FGC 2202,276.010350,65.306870,DRA,GX,15.77,Sc
FGC 2208,277.445400,67.921030,DRA,GX,16.40,Sc
FGC 2212,278.297850,52.948730,DRA,GX,16.13,Sb
FGC 2229,280.960500,81.734210,DRA,GX,16.47,Sbc
FGC 2225,280.741800,58.925440,DRA,GX,16.12,Sbc
FGC 2228,281.868150,52.953120,DRA,GX,16.98,Sbc
FGC 2234,282.685650,84.582710,DRA,GX,16.16,Sc
FGC 2233,284.997900,42.313880,LYR,GX,16.80,Sc
FGC 2238,286.745400,71.765580,DRA,GX,16.64,Sc
FGC 2239,287.544000,60.125660,DRA,GX,15.65,Sc
FGC 2251,292.320900,50.433830,CYG,GX,16.54,Sc
FGC 2252,292.303650,64.929500,DRA,GX,16.57,Sc
FGC 2254,292.817850,42.198970,CYG,GX,16.15,Sc
FGC 2295,311.073750,86.906760,UMI,GX,17.29,Sc
FGC 2351,328.189950,38.936420,CYG,GX,15.80,Sd
FGC 2360,331.028100,35.938390,PEG,GX,15.85,Sc
FGC 2368,331.689000,75.047620,CEP,GX,16.59,Sc
FGC 2384,335.165250,35.222270,PEG,GX,15.95,Sc
FGC 2386,335.461800,42.951210,LAC,GX,16.69,Sc
FGC 2389,336.325950,39.489780,LAC,GX,15.71,Sbc
FGC 2409,340.149300,72.863940,CEP,GX,15.73,Sb
FGC 2447,345.516900,30.764410,PEG,GX,16.02,Sc
FGC 2467,348.015300,48.816580,AND,GX,16.30,Sd
FGC 2477,348.786900,30.946640,PEG,GX,16.33,Sbc
FGC 2490,350.225100,43.598790,AND,GX,16.64,Sd
FGC 2502,352.083600,35.302110,AND,GX,16.70,Sc
FGC 2520,354.554400,32.335010,PEG,GX,15.46,Sc
FGC 2544,357.750450,35.782040,AND,GX,16.90,Sd
FGC 289A,358.119150,47.385020,AND,GX,15.02,
FGC 2562,359.834100,31.285040,PEG,GX,16.16,Sc
FGC 187,25.862250,35.840650,AND,GX,17.20,Scd
FGC 3,1.093650,51.674950,CAS,GX,16.84,Sc
FGC 14,2.456550,39.132310,AND,GX,17.00,Sc
FGC 18,2.781150,33.903340,AND,GX,16.94,Sc
FGC 20,3.296250,86.951940,CEP,GX,17.54,Sc
FGC 41,5.836950,41.985140,AND,GX,17.52,Sc
FGC 45,6.512100,49.483890,CAS,GX,17.14,Sd
FGC 52,7.357950,43.537350,AND,GX,17.16,Sc
FGC 8,2.100000,33.028060,AND,GX,17.09,Sc
FGC 12,2.337150,30.666670,AND,GX,17.23,Sc
FGC 79,10.476600,41.954170,AND,GX,17.11,Sc
FGC 188,25.882200,32.879470,TRI,GX,16.68,Sc
FGC 86,11.413650,46.581170,AND,GX,17.87,Sd
FGC 88,11.697150,39.601110,AND,GX,17.20,Scd
FGC 100,13.223700,31.634170,PSC,GX,17.28,Scd
FGC 69,9.840000,45.121110,AND,GX,16.90,Sc
FGC 135,18.299100,45.230280,AND,GX,17.29,Sc
FGC 140,18.632700,37.093750,AND,GX,17.09,Scd
