Name,RA,Dec,Con,OT,Mag,Diam,Other
IC 5370,0.038100,32.738390,AND,GX,14.89,0.776,S0-a
IC 5371,0.061500,32.832000,AND,GX,15.89,0.513,
IC 5373,0.120000,32.782310,AND,GX,15.23,0.676,Sb
IC 5376,0.332400,34.525720,AND,GX,14.75,1.660,Sab
IC 1534,3.439350,48.151220,AND,GX,15.12,1.023,S0
IC 1535,3.489000,48.157890,AND,GX,15.17,0.977,Sb
IC 1536,3.579150,48.143190,AND,GX,15.47,0.813,E
IC 1550,6.115200,38.185690,AND,GX,15.03,0.912,S0
IC 69,15.348600,31.040810,PSC,GX,15.36,0.759,SABb
IC 1618,16.483350,32.412100,PSC,GX,15.59,0.871,S0
IC 1619,16.843500,33.067250,PSC,GX,15.36,0.759,S0
IC 1647,18.310950,38.885220,AND,GX,15.35,0.891,Sc
IC 1648,18.425550,33.218110,PSC,GX,15.14,0.398,S0
IC 1659,19.024950,30.349110,PSC,GX,14.64,0.832,E
IC 1668,19.720800,33.172820,PSC,GX,15.75,0.347,Sc
IC 1666,19.972650,32.466940,PSC,GX,14.43,0.933,Sc
IC 1669,20.028750,33.185100,PSC,GX,15.83,0.776,
IC 1676,20.244000,30.259500,PSC,GX,15.66,0.589,E
IC 1677,20.279550,33.216080,PSC,GX,15.82,0.646,Sc
IC 1682,20.554650,33.260070,PSC,GX,14.50,0.851,Sab
IC 1732,27.699600,35.932780,AND,GX,14.86,1.318,S0-a
IC 200,31.705350,31.157500,TRI,GX,15.31,0.661,Sc
IC 1785,34.087650,32.666500,TRI,GX,15.54,0.813,S0
IC 1789,34.463400,32.396020,TRI,GX,14.63,1.950,Sa
IC 1792,34.754700,34.462420,TRI,GX,14.77,1.380,Sb
IC 1793,35.385000,32.544440,TRI,GX,14.75,1.288,Sab
IC 1799,37.191000,45.970610,AND,GX,15.19,0.794,Sc
IC 1815,38.583300,32.429440,TRI,GX,14.33,1.349,S0
IC 1823,39.654150,32.069750,TRI,GX,15.04,1.380,Sc
IC 259,42.441750,41.051700,PER,GX,15.52,1.479,S0-a
IC 257,42.440250,46.976000,PER,GX,13.86,1.950,E
IC 258,42.420300,41.054930,PER,GX,15.38,0.692,S0
IC 260,42.753600,46.954860,PER,GX,14.89,1.549,E
IC 262,42.930300,42.828460,PER,GX,14.69,2.089,S0
IC 265,43.683300,41.655160,PER,GX,15.52,0.708,E
IC 266,43.770150,42.262450,PER,GX,16.08,0.741,S0-a
IC 278,45.376800,37.766060,PER,GX,14.69,2.188,E
IC 288,46.887150,42.387530,PER,GX,14.95,1.000,Sab
IC 290,47.428050,40.974150,PER,GX,15.46,1.230,Sb
IC 296,47.763000,40.622080,PER,GX,15.19,1.479,S0-a
IC 305,48.765900,37.860110,PER,GX,15.42,0.794,E
IC 301,48.698850,42.222650,PER,GX,14.72,1.259,E
IC 309,49.026150,40.804470,PER,GX,14.75,1.023,S0
IC 1901,49.011000,37.112580,PER,GX,15.43,0.912,S0-a
IC 1900,48.979950,37.153940,PER,GX,14.96,0.832,S0
IC 1902,49.051800,37.177420,PER,GX,15.70,0.692,S0-a
IC 310,49.179150,41.324840,PER,GX,13.86,1.514,S0
IC 311,49.194600,40.003650,PER,GX,15.65,1.000,Sb
IC 1907,49.892700,41.580420,PER,GX,15.39,0.912,S0
IC 316,50.333100,41.928940,PER,GX,15.26,0.457,
IC 313,50.241150,41.893840,PER,GX,14.83,1.259,E
IC 320,51.496500,40.788700,PER,GX,15.17,1.122,Sab
IC 334,56.321250,76.638350,CAM,GX,12.62,2.344,S?
IC 2005,59.414700,36.787470,PER,GX,16.57,0.339,E
IC 2027,61.665000,37.115750,PER,GX,15.54,0.933,E
IC 442,99.051000,82.969240,CAM,GX,14.04,1.259,S0-a
IC 445,99.338700,67.859810,CAM,GX,14.37,0.871,S0
IC 449,101.421150,71.343830,CAM,GX,13.70,1.778,E
IC 451,103.216650,74.480720,CAM,GX,14.76,1.349,SABb
IC 2175,104.958450,35.458030,AUR,GX,15.01,1.072,Sc
IC 2176,106.882650,32.469810,GEM,GX,15.03,0.933,E
IC 2178,106.906800,32.512470,GEM,GX,15.95,0.589,
IC 2174,107.273400,75.353000,CAM,GX,14.39,0.776,SBa
IC 459,107.661000,50.177140,LYN,GX,15.79,0.589,
IC 458,107.642700,50.118710,LYN,GX,14.38,0.912,E-S0
IC 2179,108.884700,64.926190,CAM,GX,13.52,0.851,E
IC 2185,110.816850,32.495330,GEM,GX,14.88,0.603,Sbc
IC 2184,112.353300,72.128250,CAM,GX,14.29,0.871,Sbc
IC 2196,113.540550,31.405890,GEM,GX,13.96,1.660,E
IC 2194,113.417550,31.334390,GEM,GX,14.96,1.514,S0-a
IC 455,113.740050,85.537170,CEP,GX,14.28,1.047,S0
IC 469,118.996200,85.158890,CEP,GX,13.38,2.344,SABa
IC 2209,119.059200,60.304140,CAM,GX,14.37,0.832,SBb
IC 499,131.320500,85.739920,CAM,GX,13.78,1.862,Sa
IC 512,135.957000,85.501670,CAM,GX,13.23,1.698,SABc
IC 2600,161.661600,72.320440,UMA,GX,15.58,0.631,
IC 2601,161.805300,72.323000,UMA,GX,15.46,nan,E
IC 2738,170.345850,34.356780,UMA,GX,15.12,0.851,E-S0
IC 2744,170.427300,34.362890,UMA,GX,15.25,1.122,E-S0
IC 801,188.437500,52.254720,CVN,GX,14.74,1.096,Sa
IC 4086,195.428250,36.648280,CVN,GX,15.58,0.813,SABc
IC 945,206.952300,72.049920,UMI,GX,15.91,0.562,Sbc
IC 954,207.487200,71.164500,UMI,GX,14.45,0.955,Sab
IC 4409,215.388750,31.585670,BOO,GX,15.16,0.794,Sbc
IC 4470,217.094850,78.885560,UMI,GX,15.15,0.891,Sb
IC 1028,218.318400,41.650370,BOO,GX,14.74,1.047,Sbc
IC 1046,219.472650,69.014420,UMI,GX,14.85,0.776,Sc
IC 1083,223.889100,68.408530,UMI,GX,15.12,0.724,Sbc
IC 1100,226.586700,62.980970,DRA,GX,14.20,0.813,Sbc
IC 1139,232.359000,82.584000,UMI,GX,15.72,0.646,
IC 1143,232.735200,82.455800,UMI,GX,14.62,1.445,E
IC 1145,236.035650,72.431170,UMI,GX,15.03,1.445,Sbc
IC 1146,237.091950,69.385470,DRA,GX,14.65,1.288,S0
IC 1147,237.548550,69.560110,DRA,GX,15.52,0.457,
IC 1187,239.792400,70.556940,UMI,GX,15.43,nan,Sbc
IC 1212,243.878250,64.225060,DRA,GX,15.32,0.776,E
IC 1215,243.896550,68.397610,DRA,GX,14.04,0.912,SBbc
IC 1216,243.980700,68.349830,DRA,GX,15.05,0.759,Sc
IC 1218,244.154700,68.202570,DRA,GX,14.53,0.912,Sb
IC 1225,249.218100,67.629160,DRA,GX,15.24,1.380,Sb
IC 1237,254.066850,55.026430,DRA,GX,14.60,1.950,Sbc
IC 4649,258.959850,57.366810,DRA,GX,15.60,1.047,Sab
IC 1263,263.280150,43.822020,HER,GX,14.66,1.622,Sb
IC 1264,263.320350,43.629270,HER,GX,15.52,1.380,S0
IC 1279,272.814150,36.007840,HER,GX,14.30,2.344,Sb
IC 1281,272.909100,35.997440,HER,GX,15.68,0.562,
IC 4708,273.442350,61.157280,DRA,GX,15.76,0.501,
IC 1286,274.059450,55.591030,DRA,GX,14.78,1.413,Sab
IC 1288,277.343550,39.713310,LYR,GX,14.24,1.096,SBa
IC 1289,277.510050,39.964000,LYR,GX,15.53,0.661,
IC 1291,278.469000,49.278560,DRA,GX,13.61,1.318,Sd
IC 4772,279.985200,40.026420,LYR,GX,15.27,0.603,E
IC 1296,283.328400,33.066560,LYR,GX,15.39,1.000,SBbc
IC 4867,291.633300,50.125250,CYG,GX,14.32,1.445,S0-a
IC 1301,291.655650,49.758370,CYG,GX,14.75,1.122,Sc
IC 1302,292.720350,35.785180,CYG,GX,14.08,0.955,SABc
IC 1303,292.875450,35.876500,CYG,GX,14.83,1.175,Sc
IC 5180,332.800050,38.927330,LAC,GX,14.61,1.380,E
IC 1476,348.567900,30.551470,PEG,GX,15.53,0.912,S0-a
IC 1502,354.086400,75.648170,CEP,GX,14.65,1.000,S0-a
IC 5355,356.813700,32.782750,AND,GX,14.49,1.000,SBc
IC 5369,359.960550,32.702390,AND,GX,15.29,0.912,S0-a
IC 2197,113.605350,31.421970,GEM,GX,17.07,0.501,
IC 316,50.332950,41.930600,PER,GX,nan,nan,
IC 2993,181.527450,32.893900,UMA,GX,nan,nan,
IC 1259,261.857550,58.516700,DRA,GX,14.00,nan,
IC 522,133.645500,57.166720,UMA,GX,13.89,1.230,S0
IC 1226,250.277400,46.004050,HER,GX,15.32,0.575,SBa
IC 2402,131.995950,31.785680,CNC,GX,15.39,0.813,S0-a
IC 2527,150.027150,38.172190,LMI,GX,15.63,0.575,SBc
IC 4492,220.641150,37.452300,BOO,GX,15.34,0.631,E
IC 2515,148.664250,37.408570,LMI,GX,14.98,1.122,Sb
IC 694,172.128300,58.561840,UMA,GX,13.32,0.214,Sm
IC 1049,219.888000,62.002950,DRA,GX,14.73,0.912,Sa
IC 646,162.896550,55.465780,UMA,GX,15.39,0.851,Sa
IC 712,173.705400,49.077710,UMA,GX,14.24,3.020,E
IC 2984,179.782500,30.697560,UMA,GX,15.74,0.741,SBd
IC 3687,190.563000,38.502280,CVN,GX,13.75,3.311,IAB
IC 316,50.332950,41.931930,PER,GX,14.98,1.072,S?
IC 598,153.202350,43.145530,UMA,GX,13.74,1.660,S0-a
IC 1210,243.625500,62.536690,DRA,GX,14.96,1.380,Sab
IC 1690,20.956350,33.156110,PSC,GX,14.98,nan,S0
IC 1636,17.906100,33.354190,PSC,GX,15.21,0.537,S0
IC 1692,21.164700,33.235690,PSC,GX,15.70,0.501,S0
IC 1673,20.193000,33.044940,PSC,GX,14.79,0.537,E
IC 1638,18.090900,33.364510,PSC,GX,14.99,0.741,E
IC 1679,20.435700,33.493040,PSC,GX,15.55,0.603,S0-a
IC 1153,239.262600,48.168390,HER,GX,13.71,1.202,S0
IC 750,179.717550,42.722440,UMA,GX,12.82,2.089,Sab
IC 1029,218.113500,49.904780,BOO,GX,12.22,2.754,SABb
IC 66,15.135450,30.797180,PSC,GX,14.94,1.230,Sa
IC 65,15.230850,47.682010,AND,GX,13.60,2.570,Sbc
IC 1735,27.715350,33.092270,TRI,GX,15.28,0.851,S0
IC 381,71.118600,75.639720,CAM,GX,13.20,1.479,SABb
IC 396,74.495700,68.323540,CAM,GX,12.98,2.399,Sbc
IC 2166,96.731700,59.080080,LYN,GX,13.40,2.188,SABc
IC 529,139.636500,73.759740,CAM,GX,12.59,3.236,Sc
IC 1129,233.003400,68.246360,UMI,GX,13.72,1.000,Sc
IC 1265,264.164400,42.088170,HER,GX,14.04,1.862,Sab
IC 1441,333.829650,37.301500,LAC,GX,15.44,1.072,SBb
IC 4182,196.456500,37.604950,CVN,GX,12.53,6.026,Sm
IC 4213,198.046500,35.670530,CVN,GX,13.98,2.512,Sc
IC 2233,123.495300,45.741820,LYN,GX,12.45,2.884,SBc
IC 292,47.553900,40.765740,PER,GX,14.18,1.202,Scd
