Name,RA,Dec,Con,OT,Mag,Diam,Other
Messier 102,226.623000,55.763220,DRA,GX,10.74,6.310,S0-a
Messier 81,148.888200,69.065280,UMA,GX,7.79,21.380,Sab
Messier 110,10.092000,41.685330,AND,GX,8.89,16.218,E
Messier 106,184.740000,47.303880,CVN,GX,9.12,16.982,Sbc
Messier 108,167.878950,55.674270,UMA,GX,10.70,3.981,Sc
Messier 31,10.684650,41.268980,AND,GX,4.29,177.828,Sb
Messier 32,10.674150,40.865170,AND,GX,8.89,7.762,E
Messier 63,198.955350,42.029280,CVN,GX,9.32,11.749,Sbc
Messier 82,148.968000,69.679770,UMA,GX,8.94,10.965,S?
Messier 33,23.462100,30.659930,TRI,GX,6.35,61.660,Sc
Messier 109,179.399850,53.374500,UMA,GX,10.46,8.128,Sbc
Messier 94,192.721200,41.120300,CVN,GX,8.71,7.762,SABa
Messier 51,202.469550,47.195150,CVN,GX,8.61,13.804,SABb
Messier 101,210.802350,54.349020,UMA,GX,8.36,23.988,SABc
Messier 88,187.997100,14.420040,COM,GX,10.24,8.710,Sb
Messier 58,189.431400,11.818130,VIR,GX,10.44,5.012,Sb
Messier 100,185.728650,15.822280,COM,GX,10.01,6.166,SABb
Messier 105,161.956650,12.581640,LEO,GX,10.23,4.898,E
Messier 87,187.705800,12.391100,VIR,GX,9.65,7.079,E
Messier 74,24.174150,15.783460,PSC,GX,9.71,10.000,Sc
Messier 66,170.062500,12.991540,LEO,GX,9.73,10.233,Sb
Messier 90,189.208050,13.163390,VIR,GX,10.18,9.120,Sab
Messier 95,160.990350,11.703680,LEO,GX,10.58,7.244,Sb
Messier 96,161.690400,11.819920,LEO,GX,10.08,8.318,Sab
Messier 99,184.706700,14.416730,COM,GX,10.40,5.012,Sc
Messier 84,186.265500,12.887110,VIR,GX,10.01,7.413,E
Messier 85,186.350100,18.190270,COM,GX,9.94,6.918,S0-a
Messier 86,186.549150,12.945810,VIR,GX,9.74,11.482,E
Messier 91,188.860350,14.496070,COM,GX,10.94,5.495,Sb
Messier 89,188.916000,12.556240,VIR,GX,10.68,8.128,E
Messier 59,190.509300,11.647270,VIR,GX,10.57,4.571,E
Messier 60,190.916550,11.552710,VIR,GX,9.79,6.761,E
Messier 64,194.182050,21.681810,COM,GX,9.27,10.471,SABa
Messier 65,169.733100,13.092980,LEO,GX,10.14,7.586,Sa
Messier 98,183.451350,14.900050,COM,GX,10.82,10.965,SABb
Messier 49,187.444500,7.999720,VIR,GX,9.35,10.233,E
Messier 61,185.478450,4.473780,VIR,GX,10.16,6.918,Sbc
Messier 83,204.253950,-29.865630,HYA,GX,7.82,13.490,Sc
Messier 77,40.669800,-0.013280,CET,GX,9.74,6.166,Sb
Messier 104,189.997650,-11.623010,VIR,GX,9.15,8.511,Sa
