Name,RA,Dec,Con,OT,Mag,Diam,Other
NGC 5,1.953750,35.362330,AND,GX,14.71,0.977,E
NGC 7836,2.006850,33.070780,AND,GX,14.36,0.891,E?
NGC 11,2.177100,37.447840,AND,GX,14.44,1.445,Sa
NGC 20,2.386200,33.308610,AND,GX,14.21,1.738,E-S0
NGC 13,2.198850,33.433380,AND,GX,14.11,2.291,Sb
NGC 19,2.670300,32.983110,AND,GX,14.00,1.202,SBbc
NGC 39,3.078600,31.061080,AND,GX,14.36,1.096,Sc
NGC 43,3.253050,30.915310,AND,GX,13.88,1.380,S0
NGC 51,3.645300,48.255500,AND,GX,14.42,1.413,S0
NGC 68,4.577100,30.071810,AND,GX,14.41,1.288,E-S0
NGC 74,4.705350,30.062110,AND,GX,15.64,0.832,Sbc
NGC 71,4.598250,30.063190,AND,GX,14.22,1.950,E-S0
NGC 72A,4.643100,30.036280,AND,GX,15.67,0.380,E
NGC 112,6.702900,31.703310,AND,GX,14.63,1.023,Sb
NGC 140,7.835400,30.792470,AND,GX,14.38,0.871,SBc
NGC 149,8.459400,30.723470,AND,GX,15.06,0.912,S0
NGC 218,10.436250,36.358630,AND,GX,15.46,1.047,Sbc
NGC 226,10.725150,32.581000,AND,GX,14.48,0.794,E-S0
NGC 233,10.902300,30.587000,AND,GX,13.89,1.259,E
NGC 282,13.175550,30.639110,PSC,GX,14.52,1.259,E
NGC 287,13.367850,32.482250,PSC,GX,14.83,0.832,S0-a
NGC 311,14.385750,30.280800,PSC,GX,14.01,1.349,S0
NGC 317A,14.412900,43.800670,AND,GX,14.95,1.202,Sa
NGC 318,14.521800,30.425650,PSC,GX,15.26,0.603,S0
NGC 373,16.742550,32.308410,PSC,GX,15.94,0.525,E
NGC 387,16.887600,32.391060,PSC,GX,16.49,0.417,E
NGC 389,17.124750,39.695440,AND,GX,14.93,1.259,S0-a
NGC 393,17.154000,39.644330,AND,GX,13.61,1.660,E
NGC 398,17.223450,32.514350,PSC,GX,15.40,0.832,S0
NGC 414,17.822850,33.113790,PSC,GX,14.45,0.741,S0
NGC 425,18.260700,38.768140,AND,GX,13.46,0.891,Sc
NGC 443,18.781650,33.377360,PSC,GX,14.26,0.832,S0-a
NGC 451,19.051650,33.064080,PSC,GX,14.91,0.692,Sc
NGC 449,19.029900,33.089400,PSC,GX,15.05,0.676,SBa
NGC 477,20.334750,40.488210,AND,GX,14.19,1.549,Sc
NGC 496,20.798100,33.528540,PSC,GX,14.31,0.891,Sbc
NGC 498,20.797050,33.489300,PSC,GX,16.49,nan,
NGC 503,20.868450,33.331460,PSC,GX,15.21,0.631,S0
NGC 501,20.843400,33.433010,PSC,GX,15.50,0.525,E
NGC 513,21.111750,33.799490,AND,GX,13.39,0.617,Sc
NGC 536,21.590700,34.702970,AND,GX,13.22,2.951,Sb
NGC 562,22.121850,48.387030,AND,GX,14.50,0.912,Sc
NGC 561,22.078200,34.308690,AND,GX,14.02,1.413,Sa
NGC 571,22.483500,32.501140,PSC,GX,15.15,0.708,Sbc
NGC 573,22.705650,41.257310,AND,GX,13.52,0.389,Sab
NGC 587,23.138850,35.358530,TRI,GX,13.78,2.239,SABb
NGC 590,23.420550,44.929080,AND,GX,14.06,2.138,SBa
NGC 605,23.759850,41.248140,AND,GX,14.39,1.318,S0
NGC 608,23.867700,33.656720,TRI,GX,14.21,0.832,S0-a
NGC 627,23.967750,33.681810,TRI,GX,13.84,1.514,S0
NGC 666,26.525850,34.374530,TRI,GX,14.28,0.776,E
NGC 669,26.817300,35.563300,TRI,GX,13.34,2.344,Sab
NGC 688,27.684300,35.284340,TRI,GX,13.37,0.891,Sb
NGC 709,28.210800,36.223470,AND,GX,15.24,0.724,E-S0
NGC 704,28.157100,36.126740,AND,GX,14.34,1.096,E-S0
NGC 736,29.170350,33.043500,TRI,GX,13.15,1.820,E
